token_id,category,phi_0
237,punct,0.15993272
238,punct,-0.09946183
239,punct,-0.08583399
240,punct,-0.07738016
241,punct,-0.06680431
242,punct,-0.0644315
243,punct,-0.07345629
244,punct,-0.08722585
245,punct,-0.025199635
246,punct,-0.06667179
247,punct,0.051874887
248,punct,-2.0916712
249,punct,-0.06774918
250,punct,-0.045306876
251,punct,-0.09107943
252,punct,-0.062283024
253,punct,-0.0077247247
254,punct,-0.049678616
255,punct,-0.06459916
256,content,-0.23465993
257,function,-0.07231021
258,content,-0.10985172
259,function,-0.07960975
260,content,-0.07851099
261,content,-0.04262553
262,function,-0.13921358
263,content,-0.098302566
264,content,-0.13340576
265,content,-0.12781599
266,content,-0.079385355
267,content,-0.08656953
268,content,-0.0798913
269,content,-0.048332077
270,content,-1.8071122
271,function,-0.0011849887
272,function,-0.14238903
273,function,-0.03429728
274,content,-0.04630549
275,content,-0.055544622
276,content,-0.0595281
277,content,-0.06250958
278,content,-0.12543386
279,content,-0.014798726
280,content,-0.052346166
281,function,-0.048780672
282,content,-0.059343845
283,content,-0.047593623
284,function,-0.04227855
285,content,-0.109897435
286,function,-0.10591319
287,function,-0.098845944
288,content,-0.06310245
289,content,-0.07032888
290,function,-0.06103402
291,content,-0.07503528
292,content,-0.06458447
293,content,-0.09716128
294,content,-0.059751842
295,content,0.1252437
296,content,-0.099165626
297,content,-0.013952761
298,content,-0.04839066
299,content,-0.16246867
300,content,-0.07325923
301,content,1.4345826
302,content,-0.09479485
303,content,-0.054757606
304,content,-0.036229495
305,content,-0.10225405
306,content,-0.08853692
307,content,-0.100866035
308,content,-0.0848864
309,content,-0.093497574
310,content,-0.07887014
311,content,-0.12500985
312,content,-0.07994041
313,content,0.04755016
314,content,-0.06474493
315,content,-0.03817228
316,content,-0.04535969
317,content,-0.010745185
318,function,-0.09422605
319,content,-0.00023301088
320,content,-0.08712136
321,content,-0.09773485
322,content,-0.017400594
323,content,-0.087059036
324,content,-0.07988971
325,content,-0.02908522
326,content,-0.054602265
327,content,-0.067174226
328,content,-0.09798734
329,function,-0.051058855
330,content,0.01162198
331,content,-0.06188629
332,content,-0.17465724
333,content,-0.071893014
334,content,-0.060347144
335,content,-0.0864229
336,content,-0.056197837
337,content,-0.08546435
338,content,-0.100265615
339,content,-0.01555969
340,content,-0.1253781
341,content,0.004244519
342,content,-0.14350125
343,content,-0.022327492
344,content,-0.03605006
345,content,-0.08173656
346,content,-0.07812192
347,content,-0.07639012
348,content,-0.08277261
349,content,-0.06798217
350,content,-0.09177174
351,content,-0.066654466
352,content,-0.0176057
353,content,-0.04934907
354,content,-0.12977968
355,content,-0.0427718
356,content,-0.12185431
357,content,-0.12333709
358,content,-0.077775486
359,content,-1.6444942
360,content,-0.074703746
361,content,-0.05006579
362,content,0.0068636225
363,content,-0.06670902
364,content,-0.081007004
365,content,-0.075677164
366,content,-0.06571236
367,content,-0.01601436
368,content,-0.104017474
369,content,-0.06928093
370,content,-0.11252006
371,content,-0.05281661
372,content,-0.07254596
373,function,-0.0798736
374,content,-0.07129483
375,content,-0.15781757
376,content,-0.107257634
377,content,-0.026439684
378,content,-0.07486752
379,content,-0.011153153
380,content,-0.043094102
381,content,-1.6095186
382,content,0.032824058
383,content,-0.105840676
384,content,-0.08499927
385,content,-0.07519279
386,content,-0.068261474
387,content,-0.09491056
388,content,-0.093066506
389,function,-0.13695475
390,content,-0.052796867
391,content,-0.06419467
392,function,-0.060021445
393,function,-0.1031163
394,content,0.028283063
395,content,-0.05365119
396,content,-0.07922428
397,content,-0.095771424
398,content,0.020283852
399,content,-0.052235622
400,content,-0.16109093
401,content,-0.06396173
402,content,-0.085697584
403,content,-1.6453452
404,content,-0.091146246
405,content,-0.096309625
406,content,-0.04599653
407,content,-0.16190839
408,content,-0.04582056
409,content,-0.030117007
410,content,-0.08654673
411,content,-0.16768186
412,content,-0.13752583
413,content,-0.07579413
414,content,-0.07130254
415,content,6.228255
416,content,-0.0058836606
417,content,-0.09881981
418,content,-0.1386145
419,content,-0.061501894
420,content,-0.09405314
421,content,1.5425905
422,content,-0.055856194
423,content,-0.12416659
424,content,1.5547243
425,content,-0.13124853
426,content,-0.038862675
427,content,-0.082311966
428,content,-0.06804241
429,content,1.4940313
430,content,-0.08994202
431,content,-0.059812814
432,content,-0.10242563
433,content,-0.09492573
434,content,-0.08789218
435,content,-0.16888835
436,content,-0.022812378
437,content,-0.07594963
438,content,1.5135108
439,content,-0.06780259
440,content,-0.11265234
441,content,-0.2467846
442,content,1.5086224
443,content,-0.27920645
444,content,-0.08424186
445,content,-0.07121974
446,content,-0.09925203
447,punct,0.0113139795
448,content,-0.15620342
449,content,-0.10315601
450,content,-0.04778913
451,content,-0.06462293
452,content,-0.01761975
453,content,-0.033227205
454,content,-0.08948948
455,content,0.104572214
456,content,-0.076357834
457,content,-1.6995584
458,content,-0.07076315
459,content,-0.053542856
460,content,-0.07399139
461,content,-0.034469787
462,content,-0.07629084
463,content,1.5412891
464,content,-0.03428609
465,content,-0.06924491
466,content,-0.0719516
467,content,-0.054730147
468,content,-0.055581357
469,content,-0.09460819
470,content,1.3126162
471,content,-0.07820581
472,content,-0.03202556
473,content,-0.061846845
474,content,-0.056548133
475,content,-0.043556854
476,content,-0.87060577
477,content,-0.0835011
478,content,-0.05815111
479,content,-0.19061522
480,content,-0.2404873
481,content,-0.067973495
482,content,-0.061335817
483,content,-0.068342716
484,content,-0.06375236
485,content,-0.06633116
486,content,1.4554355
487,content,-0.06438051
488,content,-1.7118897
489,content,1.4940896
490,content,-0.086398765
491,content,-0.069564134
492,content,-0.019186057
493,content,1.5249454
494,content,-0.10313076
495,content,-0.13324511
496,content,-0.08024877
497,content,-0.04665417
498,content,-0.20469525
499,content,-0.19890967
