token_id,category,phi_0
238,punct,-0.056658562
239,punct,-0.07368061
240,punct,-0.07625184
241,punct,-0.07642522
242,punct,-0.049792875
243,punct,-0.047765937
244,punct,-0.0781533
245,punct,-0.069246456
246,punct,-0.030663455
247,punct,0.04090844
248,punct,-1.5679107
249,punct,0.0104773175
250,punct,0.039937016
251,punct,-0.07570613
252,punct,-0.058257528
253,punct,-0.055800352
254,punct,-0.092421405
255,punct,-0.07634601
256,content,-0.13243234
257,function,0.13348265
258,content,-0.108293846
259,function,-0.030559354
260,content,-0.10680451
261,content,-0.11955784
262,function,0.13177633
263,content,-0.12069807
264,content,-0.018963601
265,content,-0.13346352
266,content,-0.05962539
267,content,-0.1389732
268,content,0.042742386
269,content,0.036486074
270,content,-1.5684929
271,function,-0.019902166
272,function,-0.11638282
273,function,-0.00087216625
274,content,-0.10764836
275,content,0.09154178
276,content,0.028335698
277,content,0.024745898
278,content,-0.0027810456
279,content,0.10665895
280,content,-0.1018975
281,function,0.13091834
282,content,-0.11590078
283,content,-0.025011742
284,function,-0.028351462
285,content,-0.14578454
286,function,-0.039401952
287,function,-0.028763162
288,content,-0.11853481
289,content,-0.14545634
290,function,-0.0013440383
291,content,-0.121815905
292,content,-0.11708852
293,content,-0.11308674
294,content,-0.05777981
295,content,-0.01883733
296,content,0.020267349
297,content,0.0012013308
298,content,-0.0013724515
299,content,0.014532805
300,content,-0.049016606
301,content,1.582224
302,content,-0.05450721
303,content,0.06073834
304,content,-0.15146929
305,content,0.042034283
306,content,0.008885709
307,content,0.13346261
308,content,-0.047616575
309,content,0.097473316
310,content,-0.114721954
311,content,0.101014934
312,content,0.044647817
313,content,0.10204055
314,content,-0.15355039
315,content,-0.11478731
316,content,-0.116073154
317,content,0.009937538
318,function,-0.047759954
319,content,-0.04255807
320,content,-0.13670084
321,content,0.04754078
322,content,-0.017532364
323,content,-0.10117709
324,content,-0.10082839
325,content,0.00088239746
326,content,-0.037242368
327,content,0.07049368
328,content,-0.11797262
329,function,-0.041535463
330,content,-0.118174076
331,content,0.04573602
332,content,0.014935681
333,content,0.056312103
334,content,-0.03978155
335,content,-0.03542503
336,content,0.017585112
337,content,0.07058332
338,content,-0.08094072
339,content,0.07187694
340,content,-0.047534864
341,content,-0.13386697
342,content,-0.12983695
343,content,-0.10804081
344,content,-0.11104352
345,content,0.09132519
346,content,-0.12558767
347,content,-0.14906456
348,content,0.070205525
349,content,0.033988304
350,content,-0.0146712465
351,content,-0.044406597
352,content,-0.073779784
353,content,0.024266865
354,content,0.0336287
355,content,-0.048918013
356,content,-0.14288741
357,content,0.05624851
358,content,-0.05042294
359,content,-1.5328655
360,content,0.044917814
361,content,0.058170952
362,content,-0.06307643
363,content,0.07094919
364,content,-0.124816686
365,content,-0.021133935
366,content,-0.04231134
367,content,0.062664814
368,content,0.033515017
369,content,-0.06980761
370,content,0.026616102
371,content,0.061593987
372,content,0.05607756
373,function,-0.0313009
374,content,0.04764592
375,content,0.046157926
376,content,-0.1434871
377,content,-0.016034344
378,content,-0.05649783
379,content,-0.04868624
380,content,-0.12059212
381,content,-1.5396556
382,content,-0.122931615
383,content,0.08033559
384,content,0.04619733
385,content,-0.109813996
386,content,-0.06249831
387,content,-0.040895376
388,content,-0.12403706
389,function,0.021198107
390,content,-0.013466155
391,content,0.021568092
392,function,-0.12784211
393,function,0.010304157
394,content,-0.11056247
395,content,-0.14463319
396,content,-0.12510714
397,content,-0.006281603
398,content,-0.04471983
399,content,-0.13269994
400,content,0.07483846
401,content,-0.085099295
402,content,0.046170194
403,content,-1.603607
404,content,-0.11676992
405,content,-0.13933973
406,content,0.08803713
407,content,-0.053882327
408,content,-0.1374804
409,content,-0.03447999
410,content,-0.007361896
411,content,0.030877525
412,content,-0.1466467
413,content,-0.027776059
414,content,-0.05092716
415,content,6.297333
416,content,-0.14205994
417,content,0.010716243
418,content,-0.042568747
419,content,-0.055848062
420,content,0.009883446
421,content,1.5489283
422,content,-0.13537039
423,content,-0.05401559
424,content,1.5534774
425,content,0.06446812
426,content,-0.111915044
427,content,-0.041797966
428,content,0.13919576
429,content,1.510625
430,content,-0.10317389
431,content,-0.109898955
432,content,0.058937818
433,content,-0.11571019
434,content,-0.03991156
435,content,-0.1340577
436,content,-0.11316917
437,content,0.017603163
438,content,1.4860775
439,content,-0.13168873
440,content,-0.13461469
441,content,-0.0950861
442,content,1.6847019
443,content,0.0837115
444,content,-0.121431105
445,content,-0.06641679
446,content,-0.14641385
447,punct,0.0113139795
448,content,-0.06311282
449,content,-0.14640817
450,content,-0.038299385
451,content,-0.09573161
452,content,0.017086823
453,content,0.06354891
454,content,-0.0014585162
455,content,-0.13373348
456,content,0.024494188
457,content,-1.4803798
458,content,-0.024753023
459,content,-0.02743378
460,content,-0.048481826
461,content,-0.013346111
462,content,-0.021818537
463,content,1.5245625
464,content,0.12116554
465,content,-0.14459734
466,content,-0.1536889
467,content,-0.06859722
468,content,-0.055738226
469,content,-0.123495795
470,content,0.8546496
471,content,-0.043330982
472,content,-0.11249366
473,content,0.07852406
474,content,0.050488785
475,content,-0.052117843
476,content,-0.42507666
477,content,0.070194475
478,content,-0.050584733
479,content,-0.04858891
480,content,0.059584938
481,content,-0.06523756
482,content,-0.11983004
483,content,-0.053771935
484,content,-0.000614538
485,content,-0.12773399
486,content,1.5581832
487,content,-0.11338099
488,content,-1.5640357
489,content,1.5768428
490,content,0.08130397
491,content,0.07322664
492,content,-0.019186057
493,content,1.4699142
494,content,-0.10714755
495,content,-0.12585624
496,content,-0.052383427
497,content,-0.05980257
498,content,-0.14249073
499,content,0.0009002377
