token_id,category,mu_0,mu_1
0,punct,-0.001428888,0.0023974744
1,punct,0.017657675,-0.0012339171
2,punct,-0.015867705,-0.01071363
3,punct,0.0059207976,0.015449976
4,punct,-0.017213484,0.02004816
5,punct,0.0072383373,-0.03873149
6,punct,0.35040537,-0.7696093
7,punct,-0.016248286,0.04182599
8,punct,-0.004730339,0.0038011887
9,punct,0.008031222,0.012395416
10,punct,0.022007972,0.036199644
11,punct,0.26412416,-0.70013696
12,punct,0.4040745,-6.6813984e-05
13,punct,0.26312536,-0.64104074
14,punct,0.0071012336,-0.0040551713
15,digit,1.2507391,-0.6275587
16,digit,0.2817478,-0.028148912
17,digit,0.5257277,-0.5452597
18,digit,0.3027463,0.061200667
19,digit,0.409026,-0.020866716
20,digit,0.25669414,-0.6650301
21,digit,0.37276682,0.4776288
22,digit,0.40711987,0.6600174
23,digit,0.8966941,-0.7341644
24,digit,0.13542016,0.7810798
25,punct,-0.03390372,0.012391456
26,punct,0.021735687,0.035231605
27,punct,0.0025851163,0.01879188
28,punct,0.02176635,-0.0075853104
29,punct,0.26015806,-0.70739716
30,punct,-0.009204302,0.031925894
31,punct,0.040666938,-0.011173708
32,letter,0.34706604,0.61966914
33,letter,-0.41117084,1.4098452
34,letter,1.011056,-1.1518257
35,letter,0.6231934,-1.1489491
36,letter,0.58910066,-0.54810566
37,letter,1.3542485,-0.7904834
38,letter,0.8317441,-0.5675494
39,letter,0.40864977,-0.057632193
40,letter,0.5019516,-1.0946307
41,letter,0.3368693,0.5717673
42,letter,0.74014413,0.10389267
43,letter,0.3533365,0.5637143
44,letter,-0.22648424,1.6950297
45,letter,0.312518,0.53072315
46,letter,0.33101228,0.57041234
47,letter,1.2099137,-1.2001376
48,letter,0.29097372,-0.052105952
49,letter,0.16733758,0.78363
50,letter,0.25837404,-0.7068687
51,letter,0.3704695,0.023270046
52,letter,0.8344724,-1.2892743
53,letter,-0.28878576,1.3435546
54,letter,1.076613,-1.2432348
55,letter,0.50862813,-0.90140903
56,letter,0.3069218,-0.70123965
57,letter,0.34295163,-0.04893508
58,punct,-0.016391357,-0.011322343
59,punct,0.012120641,0.0052584265
60,punct,0.013430163,0.03004758
61,punct,0.017939689,0.01940757
62,punct,-0.026786799,0.027779277
63,punct,-0.76936567,0.6811476
64,letter,0.27289423,-0.79248154
65,letter,0.3984145,0.8820763
66,letter,0.122422114,1.075889
67,letter,0.3853012,0.047467005
68,letter,0.40608007,-0.04038097
69,letter,1.2018293,-0.6277279
70,letter,0.32691792,0.5008337
71,letter,0.27947,-0.7933942
72,letter,0.34571734,0.49495143
73,letter,0.40667328,-0.03702615
74,letter,0.39968926,-0.022963433
75,letter,0.37705708,1.1622617
76,letter,0.39161804,0.6621186
77,letter,0.33597305,-0.80501187
78,letter,0.40831202,-0.046936344
79,letter,0.63785964,-0.5672091
80,letter,0.40899768,-0.06162449
81,letter,0.40949586,-0.035618804
82,letter,0.26744553,-0.67142475
83,letter,0.33510232,0.4851471
84,letter,0.3316879,0.48795512
85,letter,0.6726665,-0.59560186
86,letter,0.2929917,1.2115048
87,letter,0.21741877,1.2419951
88,letter,0.40528396,-0.056226168
89,letter,0.3486502,0.52526003
90,punct,0.021183206,0.006942549
91,punct,0.017659152,0.0329668
92,punct,0.018320346,-0.0017899974
93,punct,-0.00719024,0.017894961
94,punct,0.33505708,0.5377216
95,punct,0.62123376,-0.5494755
96,punct,0.4116472,-0.041691907
97,punct,0.25861052,-0.70204914
98,punct,0.34424934,-0.055673238
99,punct,0.4102468,-0.046190403
100,punct,0.2680345,0.43273693
101,punct,-0.3104285,1.4191297
102,punct,0.12692197,1.4225749
103,punct,1.59471,-0.88552576
104,punct,0.26234064,-1.4498286
105,punct,0.30424345,-0.021692948
106,punct,0.34289852,0.5420829
107,punct,0.32453534,0.5064565
108,punct,0.3455145,0.50783175
109,punct,0.40315855,0.6068064
110,punct,0.3444714,0.5504602
111,punct,0.097913496,0.40179175
112,punct,-0.6409323,1.5158018
113,punct,-0.18278423,1.1029749
114,punct,0.41122496,-0.0014636196
115,punct,-0.52868694,1.3908865
116,punct,0.37100482,0.8628336
117,punct,0.2593082,-0.6997492
118,punct,0.3655835,0.56918085
119,punct,0.34935752,1.0209887
120,punct,-0.3774236,0.8949184
121,punct,-0.4011504,1.5622768
122,punct,1.0741745,-0.6657898
123,punct,-0.017601943,0.16567598
124,punct,-0.019580657,0.005162756
125,punct,-0.0163549,-0.010561977
126,punct,-1.3050874,1.3220931
127,punct,0.40698504,-0.056954045
