token_id,category,mu_0,mu_1
180,punct,-0.0012277615,0.018909024
181,punct,-0.02656625,-0.031921513
182,punct,-0.020067837,-0.004072118
183,punct,-0.008678805,0.014863628
184,punct,0.0029521585,-0.012701269
185,punct,0.007991984,0.020285618
186,punct,0.016294448,-0.013974834
187,punct,-0.0037240079,-0.021225357
188,punct,-0.005564479,-0.0008667471
189,punct,0.0011340312,0.004421846
190,punct,0.0026529164,0.0039869263
191,punct,-0.009719394,0.024324453
192,punct,0.010634744,0.012968392
193,punct,-0.008859835,0.019038772
194,punct,-0.008445761,0.007852611
195,punct,-0.0032552402,-0.025190376
196,punct,0.00031973486,-0.012158634
197,content,-0.0042665442,0.024833424
198,content,0.4126295,-0.67104244
199,content,-0.005767155,-0.010867538
200,content,-0.026483424,0.0009813521
201,content,-0.015331606,0.012541013
202,punct,0.025103485,0.0032699397
203,punct,0.012384597,0.015206193
204,punct,0.006039766,-0.008890447
205,punct,0.044553384,0.018237095
206,punct,0.03436561,-0.009031761
207,punct,-0.00420201,-0.02039708
208,punct,0.0061897626,0.020743432
209,punct,-0.01258525,0.028231237
210,punct,-0.025817072,-0.037872892
211,punct,-0.013671531,0.0070571187
212,punct,0.002112408,-0.01498309
213,punct,0.046766944,0.010048471
214,punct,-0.00097440666,-0.0066603073
215,punct,-0.03940033,-0.022817777
216,content,0.0062720426,-0.04183323
217,content,0.0032261678,0.025497964
218,content,0.009982669,-0.025563419
219,content,-0.007986614,-0.029839663
220,content,0.27321288,-0.8211666
221,punct,-0.008034292,0.011986638
222,punct,0.9047688,-0.89052373
223,punct,0.83442765,-0.5774427
224,punct,0.35223964,0.08264929
225,punct,0.32077953,-0.4989521
226,punct,0.14089316,0.84930885
227,punct,0.3635816,0.5214505
228,punct,0.35801408,0.46207625
229,punct,0.3222313,0.54077446
230,punct,0.7896099,-0.72103715
231,punct,0.20052727,1.1650069
232,punct,0.27270702,0.43852338
233,punct,1.081136,-0.30687323
234,punct,0.3844667,0.007641936
235,punct,0.38643676,-0.0035028327
236,punct,1.2397269,-1.0010142
237,punct,0.18321732,0.58535004
238,punct,0.09602462,0.73887134
