step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_a0,alpha_b0,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
100,1770738170.1297472,14.486104011535645,7.477573394775391,6.8578362464904785,0.1506948620080948,0.0,,,1767.9454608307817,10.787858054525708,,,0.00390625512227416,0,2.2826857566833496,0,4.480295658111572,0.03752348944544792,,,,,,,,,,,,,,,,0.05,0,0.005,0.05,3.2255399697580063,1.1753251552581787,0.003240129333136362,0.899280309677124,0.02424217388033867,0.659464418888092,0.9227010607719421,0.5329587459564209,16.701576232910156,1.170095443725586,1.042309045791626,0.4441392421722412,4611.16651161792
200,1770738213.9892533,14.985453605651855,7.066696643829346,7.723957061767578,0.19480006396770477,0.0,,,1172.269208481348,10.195088203519278,,,0.00390625512227416,0,2.4626336097717285,0,4.4737396240234375,0.03786209598183632,,,,,,,,,,,,,,,,0.04999977946281434,0,0.0049999779462814335,0.04999977946281434,1.650835147323142,0.06260251253843307,0.01732402919028704,1.0191770792007446,0.02949896641075611,0.7618411779403687,1.0352535247802734,1.0990123748779297,15.497157096862793,0.628614068031311,1.0662827491760254,0.4376358985900879,4679.6892270445605
300,1770738258.0016148,15.134950637817383,6.586920738220215,8.238664627075195,0.3093649446964264,0.0,,,725.5432888989505,9.502917883758974,,,0.00390625512227416,0,2.148986339569092,0,4.4779372215271,0.037591975182294846,,,,,,,,,,,,,,,,0.049999120831489566,0,0.004999912083148956,0.049999120831489566,2.5366686917717094,0.07622368633747101,0.0027917478866306797,1.1176505088806152,0.04260163754224777,0.7162250876426697,1.139090895652771,1.5190609693527222,14.468475341796875,0.6751948595046997,1.369610071182251,0.4532656669616699,4518.32148181033
400,1770738302.0011222,13.827489852905273,6.402592658996582,7.077263832092285,0.34763363003730774,0.0,,,603.4074413385805,9.236988677966451,,,0.00390625512227416,0,2.0401506423950195,0,4.480019569396973,0.03777943551540375,,,,,,,,,,,,,,,,0.04999802112579346,0,0.004999802112579345,0.04999802112579346,2.3246851425853796,0.07085701078176498,0.002845782887893448,1.2403790950775146,0.05879480391740799,0.737178385257721,1.266520380973816,1.928455114364624,13.326783180236816,0.7237151861190796,1.7416157722473145,0.45326709747314453,4518.3072219826
500,1770738346.078202,13.424339294433594,6.4814958572387695,6.584706783294678,0.3581371009349823,0.0,,,652.9469315159281,9.350821930780734,,,0.00390625512227416,0,1.9896472692489624,0,4.480007648468018,0.03732260316610336,,,,,,,,,,,,,,,,0.049996481835842134,0,0.004999648183584214,0.049996481835842134,1.849781404796731,0.07118243724107742,0.05726430072590208,1.3653610944747925,0.06069082394242287,0.6534900665283203,1.3991318941116333,2.2454607486724854,12.271100044250488,0.785747766494751,1.528854250907898,0.4376375675201416,4679.671381058355
600,1770738390.252477,14.404097557067871,6.398249626159668,7.585781574249268,0.42006564140319824,0.0,,,600.792505493158,9.230723006030217,,,0.00390625512227416,0,2.1251649856567383,0,4.47830867767334,0.0377134345471859,,,,,,,,,,,,,,,,0.049994502961635594,0,0.004999450296163559,0.049994502961635594,2.1235750641763946,0.10891894996166229,0.013221590785561671,1.488852858543396,0.0901934951543808,0.7226203083992004,1.535146951675415,2.4623641967773438,11.321826934814453,0.9332025051116943,2.0054872035980225,0.4376366138458252,4679.681578748091
700,1770738434.4447227,15.523198127746582,6.756583213806152,8.29501724243164,0.4715980291366577,0.0,,,859.6997615413937,9.74768909591175,,,0.00390625512227416,0,1.9417996406555176,0,4.480809211730957,0.037882447242736816,,,,,,,,,,,,,,,,0.049992083013057714,0,0.004999208301305771,0.049992083013057714,2.0254789921322724,0.09068502485752106,0.0032747359539639785,1.6112232208251953,0.1303270161151886,0.532002866268158,1.684104561805725,2.5771305561065674,10.41260051727295,1.2197805643081665,2.9047467708587646,0.4532654285430908,4518.323858457036
800,1770738478.6504753,14.856037139892578,6.432650566101074,7.930769443511963,0.4926164746284485,0.0,,,621.8199404983675,9.280353071485603,,,0.00390625512227416,0,2.344057559967041,0,4.476322174072266,0.03803635388612747,,,,,,,,,,,,,,,,0.04998922497034073,0,0.004998922497034073,0.04998922497034073,1.8364187215010799,0.07888752967119217,0.36631518603356483,1.699430227279663,0.13460572063922882,0.46852490305900574,1.7730830907821655,2.4139280319213867,9.792412757873535,1.1319888830184937,2.997666358947754,0.4376380443572998,4679.666282230153
900,1770738522.8918602,15.011327743530273,6.217684745788574,8.296905517578125,0.49673721194267273,0.0,,,501.54069255171356,8.970222948560131,,,0.00390625512227416,0,2.068186044692993,0,4.477986812591553,0.037781525403261185,,,,,,,,,,,,,,,,0.049985927343368534,0,0.004998592734336853,0.049985927343368534,1.4841090650944893,0.07717995345592499,0.0473253606531538,1.7754685878753662,0.131551593542099,0.5600566864013672,1.8506921529769897,2.2443435192108154,9.290106773376465,1.0319139957427979,2.6963558197021484,0.4532663822174072,4518.314351885214
1000,1770738567.1845977,13.109430313110352,6.127334117889404,6.466940879821777,0.515156090259552,0.0,14.253857231140136,5.832653903961182,458.2129891781451,8.839874545748795,341.26318359375,8.41474086246645,0.00390625512227416,0,2.2889466285705566,0,4.476282119750977,0.0378456637263298,,,,,,,,,,,,,,,,0.049982188642025,0,0.004998218864202499,0.049982188642025,1.2214720915902333,0.07100194692611694,0.18701887147079546,1.8522586822509766,0.138030543923378,0.7386390566825867,1.944974422454834,2.1930649280548096,8.78730297088623,1.1373478174209595,2.0404903888702393,0.45326805114746094,4518.297715480784
