step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,grad_norm_ffn,grad_norm_other,lr_current,tokens_per_sec,step_time,beta_loss,attention_entropy,attention_concentration
1000,0.0005477570171782078,7.608755111694336,7.608755111694336,2015.7671301767311,10.97711326697997,,,,0.3750459906651068,0.0,0.0,0.0,0.004198036059310362,0,0.0,524096.0702867602,0.015630722045898438,0,0,0
2000,0.0010955140343564156,7.204634189605713,7.204634189605713,1345.6523453789077,10.394090016763238,,,,0.7244432299188052,0.0,0.0,0.0,0.17745204614606033,0,0.0,262058.02820424817,0.03126025199890137,0,0,0
3000,0.0016432710515346235,6.844707012176514,6.844707012176514,938.8981549807008,9.87482486280497,,,,0.39874347466442495,0.0,0.0,0.0,0.18236622489275048,0,0.0,524128.0488132284,0.01562976837158203,0,0,0
4000,0.0021910280687128312,6.579150199890137,6.579150199890137,719.9272749467434,9.491707366645134,,,,0.3704448164945198,0.0,0.0,0.0,0.16890315552163226,0,0.0,262032.04783112684,0.03126335144042969,0,0,0
5000,0.002738785085891039,6.510932922363281,6.510932922363281,672.453471931337,9.393290638654193,6.499114258289337,664.5526123046875,9.376239910604781,0.6320474573659612,0.0,0.0,0.0,0.23205127938728787,0,0.0,262070.0208833871,0.03125882148742676,0,0,0
6000,0.003286542103069247,6.420110702514648,6.420110702514648,614.0710895767446,9.262261872476042,,,,0.6056575477252502,0.0,0.0,0.0,0.33785854652455066,0,0.0,262062.02564200346,0.031259775161743164,0,0,0
7000,0.0038342991202474546,6.418820381164551,6.418820381164551,613.2792515120293,9.260400332263103,,,,0.7708864100795803,0.0,0.0,0.0,0.37883390473596706,0,0.0,524128.0488132284,0.01562976837158203,0,0,0
8000,0.0043820561374256625,6.354575157165527,6.354575157165527,575.1179540084371,9.167714066198911,,,,0.7265133105208053,0.0,0.0,0.0,0.3673839999694061,0,0.0,262058.02820424817,0.03126025199890137,0,0,0
9000,0.00492981315460387,6.398343086242676,6.398343086242676,600.848658234571,9.230857840428493,,,,0.6004642903389723,0.0,0.0,0.0,0.3500684193150433,0,0.0,524104.0645525405,0.015630483627319336,0,0,0
10000,0.005477570171782078,6.357420921325684,6.357420921325684,576.7569350404668,9.17181963604031,6.3092357802391055,549.6246337890625,9.102303171950167,0.5459507619138936,0.0,0.0,0.0,0.34787119473065575,0,0.0,524120.0538157634,0.015630006790161133,0,0,0
11000,0.006025327188960286,6.367541313171387,6.367541313171387,582.623577510262,9.186420275167958,,,,0.7392459946401557,0.0,0.0,0.0,0.391276897358852,0,0.0,375799.6562216316,0.02179884910583496,0,0,0
12000,0.006573084206138494,6.337686061859131,6.337686061859131,565.4862960103713,9.143348252155272,,,,0.5064394220694736,0.0,0.0,0.0,0.24819044157708017,0,0.0,454818.7643025441,0.01801156997680664,0,0,0
13000,0.007120841223316701,6.2873992919921875,6.2873992919921875,537.7529704555023,9.07079977864591,,,,0.5512384727469329,0.0,0.0,0.0,0.3236564719474048,0,0.0,262062.02564200346,0.031259775161743164,0,0,0
14000,0.007668598240494909,6.423720836639404,6.423720836639404,616.2919750073129,9.267470195074772,,,,0.6792295797875728,0.0,0.0,0.0,0.3692411003886101,0,0.0,524112.05906220444,0.015630245208740234,0,0,0
15000,0.008216355257673117,6.299721717834473,6.299721717834473,544.4203865596247,9.088577281300296,6.282408590316773,535.075927734375,9.06359971808823,0.60847067029131,0.0,0.0,0.0,0.3330669031989645,0,0.0,524144.0395399213,0.015629291534423828,0,0,0
