step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,grad_norm_ffn,grad_norm_other,lr_current,tokens_per_sec,step_time,beta_loss,attention_entropy,attention_concentration
100,5.477570171782078e-05,9.268590927124023,9.268590927124023,10599.805460238165,13.37175016659027,,,,0.8908314904113811,0.0,0.0,0.0,0.0,0,0.0,262062.02564200346,0.031259775161743164,0,0,0
200,0.00010955140343564156,7.613949775695801,7.613949775695801,2026.2656075463947,10.984607582973968,,,,0.4560050204398034,0.0,0.0,0.0,0.0,0,0.0,384302.7287043665,0.0213165283203125,0,0,0
300,0.00016432710515346235,7.284775733947754,7.284775733947754,1457.9341310587465,10.509709825354683,,,,0.2891624992586601,0.0,0.0,0.0,0.0,0,0.0,524128.0488132284,0.01562976837158203,0,0,0
400,0.00021910280687128313,6.993326187133789,6.993326187133789,1089.338801606496,10.089237009496841,,,,0.3169400772162067,0.0,0.0,0.0,0.0,0,0.0,524104.0645525405,0.015630483627319336,0,0,0
500,0.0002738785085891039,6.893550872802734,6.893550872802734,985.8960004304249,9.94529165830829,,,,0.35756008783676424,0.0,0.0,0.0,0.0,0,0.0,524112.05906220444,0.015630245208740234,0,0,0
600,0.0003286542103069247,6.673499584197998,6.673499584197998,791.1594946742354,9.627824755497011,,,,0.38244209349415775,0.0,0.0,0.0,0.0,0,0.0,524088.0762648526,0.01563096046447754,0,0,0
700,0.00038342991202474546,6.557182312011719,6.557182312011719,704.2844423682001,9.460014403744134,,,,0.38712550934992207,0.0,0.0,0.0,0.0,0,0.0,524128.0488132284,0.01562976837158203,0,0,0
800,0.00043820561374256626,6.38632869720459,6.38632869720459,593.6730204674644,9.213524740943937,,,,0.40146241684684714,0.0,0.0,0.0,0.0,0,0.0,524112.05906220444,0.015630245208740234,0,0,0
900,0.0004929813154603871,6.29136323928833,6.29136323928833,539.8888253000486,9.0765185457524,,,,0.4201681638214017,0.0,0.0,0.0,0.0,0,0.0,262054.03088844314,0.03126072883605957,0,0,0
1000,0.0005477570171782078,6.286673545837402,6.286673545837402,537.3628398899726,9.069752748267456,6.232898244857788,509.2292175292969,8.992171388221855,0.4654154639092811,0.0,0.0,0.0,0.0,0,0.0,262064.0244066142,0.03125953674316406,0,0,0
