step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_c0,alpha_b0,alpha_c0_std,alpha_b0_std,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
100,1773680135.117475,9.169708251953125,9.169708251953125,0,0,0,,,9601.822968235207,13.229092621491379,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0003,0.856619321312716,0.0,0.122669096297262,,,,,,,,,,,0.03125953674316406,262064.0244066142
200,1773680136.6550553,7.510143756866455,7.510143756866455,0,0,0,,,1826.4760924242048,10.834847154394444,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029996666014194483,0.34291025506697587,0.0,0.07526894355483385,,,,,,,,,,,0.031260013580322266,262060.0269078817
300,1773680138.186784,7.204710483551025,7.204710483551025,0,0,0,,,1345.7550144218192,10.39420008565979,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002998666495084762,0.26449192875710253,0.0,0.08055594458831776,,,,,,,,,,,0.015630722045898438,524096.0702867602
400,1773680139.7296534,7.0267839431762695,7.0267839431762695,0,0,0,,,1126.402205237093,10.1375063482186,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002997000217437744,0.3182479586313708,0.0,0.09845144812903489,,,,,,,,,,,0.015630006790161133,524120.0538157634
500,1773680141.2770128,6.791025638580322,6.791025638580322,0,0,0,,,889.8257335735257,9.797379011329637,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029946684837341305,0.32113740859447437,0.0,0.0938174858423558,,,,,,,,,,,0.03126025199890137,262058.02820424817
600,1773680142.8243704,6.686793327331543,6.686793327331543,0,0,0,,,801.7471848668922,9.647003572790629,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029916722774505613,0.333759035022229,0.0,0.09837844059096783,,,,,,,,,,,0.03125953674316406,262064.0244066142
700,1773680144.3554447,6.610445976257324,6.610445976257324,0,0,0,,,742.8142223634287,9.536857628010845,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002988012939691543,0.34355999323008213,0.0,0.10931380489484233,,,,,,,,,,,0.01562976837158203,524128.0488132284
800,1773680145.9050536,6.445827960968018,6.445827960968018,0,0,0,,,630.068132880869,9.299364033711978,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002983692169189453,0.35130688628392354,0.0,0.1050803744869629,,,,,,,,,,,0.031259775161743164,262062.02564200346
900,1773680147.4367826,6.370467185974121,6.370467185974121,0,0,0,,,584.330756265985,9.190641417350735,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029787118434906,0.37415592413403354,0.0,0.11811245398668571,,,,,,,,,,,0.015630245208740234,524112.05906220444
1000,1773680148.984142,6.2429962158203125,6.2429962158203125,0,0,0,6.2213122534751895,6.2213122534751895,514.397450072487,9.00673968085253,503.36322021484375,8.975456335910398,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029730741083621977,0.3751726704778576,0.0,0.10738187440875376,,,,,,,,,,,0.015630483627319336,524104.0645525405
1100,1773680171.4452052,6.279832363128662,6.279832363128662,0,0,0,,,533.6991886638795,9.05988300789974,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002966781556606292,0.401214577528511,0.0,0.12666621578974158,,,,,,,,,,,0.01562952995300293,524136.04405461065
1200,1773680172.9925637,6.191897392272949,6.191897392272949,0,0,0,,,488.7726203491782,8.933019661525488,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029598369598388667,0.42391631270269875,0.0,0.1327381406046242,,,,,,,,,,,0.015629291534423828,524144.0395399213
1300,1773680174.5399232,6.170379161834717,6.170379161834717,0,0,0,,,478.36745038782766,8.901975417183545,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002952243447303772,0.3988239722061102,0.0,0.115422387698068,,,,,,,,,,,0.03126025199890137,262058.02820424817
1400,1773680176.087282,5.953513145446777,5.953513145446777,0,0,0,,,385.10389131109963,8.58910389080332,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002944004327058792,0.4330829700454291,0.0,0.12788567640088483,,,,,,,,,,,0.031260013580322266,262060.0269078817
1500,1773680177.63464,6.063869953155518,6.063869953155518,0,0,0,,,430.03644166529403,8.748315110013056,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029351232647895813,0.4497384986090371,0.0,0.14039203879888326,,,,,,,,,,,0.03125929832458496,262066.0232017146
1600,1773680179.1819985,6.077674865722656,6.077674865722656,0,0,0,,,436.0142235869015,8.768231388913573,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029256042838096615,0.45724433728435976,0.0,0.14768160812266048,,,,,,,,,,,0.03125929832458496,262066.0232017146
1700,1773680180.7261868,5.92645263671875,5.92645263671875,0,0,0,,,374.82252104225705,8.550063829057462,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002915451496839523,0.4438420650086924,0.0,0.13678125161555843,,,,,,,,,,,0.03125953674316406,262064.0244066142
1800,1773680182.257916,5.923224925994873,5.923224925994873,0,0,0,,,373.6146527449091,8.5454072268027,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002904669553041458,0.4643918628410175,0.0,0.1387571611763906,,,,,,,,,,,0.015630245208740234,524112.05906220444
1900,1773680183.8074708,5.91425895690918,5.91425895690918,0,0,0,,,370.27980771741136,8.532472067666008,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002893263190984726,0.48550883363439473,0.0,0.14259333424292672,,,,,,,,,,,0.015629291534423828,524144.0395399213
2000,1773680185.35483,5.9020562171936035,5.9020562171936035,0,0,0,5.778302400112152,5.778302400112152,365.78883640678583,8.514867235593087,323.2099609375,8.336328217398597,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002881237417459488,0.4773180437747225,0.0,0.15565935913569873,,,,,,,,,,,0.03126025199890137,262058.02820424817
2100,1773680207.9263859,5.841073036193848,5.841073036193848,0,0,0,,,344.14842632591956,8.426887102787106,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00028685975968837735,0.49366137590830833,0.0,0.15457045812924344,,,,,,,,,,,0.031259775161743164,262062.02564200346
