step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,grad_norm_ffn,grad_norm_other,lr_current,tokens_per_sec,step_time,beta_loss,attention_entropy,attention_concentration
1000,0.00013693919803749698,5.932961940765381,5.932961940765381,377.2703128628967,8.559454769725175,,,,1.354598359618871,0.0,0.0,0.0,0.44966112224508054,0,0.0,43675.782849879244,0.046890974044799805,0,0,0
2000,0.00027387839607499395,5.304279327392578,5.304279327392578,201.19595374108616,7.652457481119119,,,,1.2465577003710722,0.0,0.0,0.0,0.4029559324375099,0,0.0,54719.23272731905,0.037427425384521484,0,0,0
3000,0.0004108175941124909,4.797066688537598,4.797066688537598,121.15451186448715,6.920704322366834,,,,1.1587822131060848,0.0,0.0,0.0,0.36956101774400074,0,0.0,48907.874808551824,0.04187464714050293,0,0,0
4000,0.0005477567921499879,5.135158538818359,5.135158538818359,169.89125209808242,7.408467758131863,,,,1.148415642542777,0.0,0.0,0.0,0.36627457855650697,0,0.0,54542.7302812877,0.03754854202270508,0,0,0
5000,0.0006846959901874849,5.140213966369629,5.140213966369629,170.75229966260886,7.415761198389653,4.620506951808929,101.54547882080078,6.665982465767723,1.1598266534687722,0.0,0.0,0.0,0.36329995995479986,0,0.0,55685.8657435319,0.03677773475646973,0,0,0
6000,0.0008216351882249817,4.771766662597656,4.771766662597656,118.12774960208122,6.884204100408918,,,,1.1313410462804048,0.0,0.0,0.0,0.3535959794671849,0,0.0,42856.0325289243,0.04778790473937988,0,0,0
7000,0.0009585743862624787,4.799954891204834,4.799954891204834,121.50493645382353,6.924871118031938,,,,1.0899917246556796,0.0,0.0,0.0,0.33759306593891614,0,0.0,56642.035383408176,0.03615689277648926,0,0,0
8000,0.0010955135842999758,4.463311195373535,4.463311195373535,86.77436078522318,6.439196927509591,,,,1.049545934383598,0.0,0.0,0.0,0.3291934709358818,0,0.0,61462.91870232831,0.03332090377807617,0,0,0
9000,0.0012324527823374728,4.625153064727783,4.625153064727783,102.01838730435753,6.672685389835164,,,,1.0266167710971728,0.0,0.0,0.0,0.3183976789363843,0,0.0,65498.02202092293,0.03126811981201172,0,0,0
10000,0.0013693919803749698,4.451193809509277,4.451193809509277,85.7292273034419,6.4217152350146876,4.277354449033737,72.049560546875,6.170918051745317,1.0609388925840273,0.0,0.0,0.0,0.33505799546111925,0,0.0,65514.50705106204,0.03126025199890137,0,0,0
11000,0.0015063311784124665,4.561359405517578,4.561359405517578,95.7135048983105,6.5806505940524405,,,,1.0270969470668267,0.0,0.0,0.0,0.33165628744935094,0,0.0,55350.369812876954,0.03700065612792969,0,0,0
12000,0.0016432703764499635,4.378796577453613,4.378796577453613,79.74201230419288,6.317268107353894,,,,1.0198041207710913,0.0,0.0,0.0,0.3150433832206392,0,0.0,76004.34079225617,0.026945829391479492,0,0,0
13000,0.0017802095744874605,4.334360599517822,4.334360599517822,76.27617227300667,6.253160542348877,,,,0.996865704140548,0.0,0.0,0.0,0.31072141263040864,0,0.0,76846.10615399755,0.026650667190551758,0,0,0
14000,0.0019171487725249574,4.461182594299316,4.461182594299316,86.58984923305279,6.436126005295784,,,,0.9978272082622569,0.0,0.0,0.0,0.309479430878246,0,0.0,43677.115315581,0.046889543533325195,0,0,0
15000,0.0020540879705624546,4.419425010681152,4.419425010681152,83.04851961553877,6.375882546490353,4.014771816730499,55.4106559753418,5.792091390297865,0.9915393163221208,0.0,0.0,0.0,0.3150715877592305,0,0.0,54419.371872762866,0.037633657455444336,0,0,0
16000,0.0021910271685999516,4.222747802734375,4.222747802734375,68.22068395967577,6.0921373139296495,,,,0.9471717500121107,0.0,0.0,0.0,0.2943058945244271,0,0.0,43675.560780166365,0.046891212463378906,0,0,0
17000,0.0023279663666374486,4.103706359863281,4.103706359863281,60.564345380346616,5.920396814639256,,,,0.9451943657998956,0.0,0.0,0.0,0.30024675629208547,0,0.0,43677.115315581,0.046889543533325195,0,0,0
18000,0.0024649055646749456,4.380608558654785,4.380608558654785,79.8866343180474,6.319882243647008,,,,1.001335210416488,0.0,0.0,0.0,0.3141424076839654,0,0.0,65515.506410500864,0.031259775161743164,0,0,0
19000,0.0026018447627124425,4.056797981262207,4.056797981262207,57.7889731347136,5.852722329455344,,,,0.9585079912254865,0.0,0.0,0.0,0.3039411547557716,0,0.0,59674.287008412815,0.03431963920593262,0,0,0
