step,layer,mu_input_norm,mu_output_norm,delta_mu_norm,delta_mu_relative,sigma_mean_diag,phi_norm,attention_entropy,kl_mean,kl_std,mu_attn_norm,mu_ffn_norm,residual_ratio,ce_loss,perplexity,mu_position_std
24,0,72.77757263183594,132.50860595703125,60.151527404785156,0.8265118665170658,2.9678502082824707,32.11281967163086,2.3637208938598633,6.158677101135254,3.3893046379089355,2.4928524494171143,59.48311996459961,0.4489000509098955,10.976693153381348,58494.80076049909,1.8021754026412964
24,1,132.50860595703125,196.27720642089844,63.88272476196289,0.4821024588988371,5.146130084991455,32.11281967163086,2.47898006439209,2.6990714073181152,1.7569656372070312,2.224919557571411,63.56077194213867,0.32383165166208916,10.342135429382324,31012.183716980406,2.6659817695617676
49,0,70.97807312011719,129.701904296875,59.348594665527344,0.8361539282241341,2.9893953800201416,32.18030548095703,2.377507209777832,5.80461311340332,3.501617908477783,4.812075138092041,58.00962829589844,0.4472534817888835,8.931379318237305,7565.693681894388,1.773887276649475
49,1,129.701904296875,192.01414489746094,62.46165084838867,0.4815785179268013,4.963688850402832,32.18030548095703,2.4879395961761475,2.4932045936584473,1.6931147575378418,4.758333206176758,61.48720932006836,0.32022229065312574,8.54360580444336,5133.822587490452,2.6197078227996826
74,0,70.04364013671875,127.81653594970703,59.11030960083008,0.843906876870093,2.4052393436431885,31.315744400024414,2.4720711708068848,3.625135898590088,2.363133668899536,8.884840965270996,56.496498107910156,0.4420124335533561,8.347829818725586,4221.010438305678,1.7212791442871094
74,1,127.81653594970703,187.4900665283203,59.90721893310547,0.4686969372412867,3.579077959060669,31.315744400024414,2.520421266555786,1.648606300354004,1.152517318725586,6.036647796630859,58.64160919189453,0.3127718191934665,8.068005561828613,3190.731761616044,2.519421339035034
99,0,67.77945709228516,122.97953033447266,56.977699279785156,0.8406337512234836,2.143397808074951,31.92086410522461,2.520355701446533,2.2082860469818115,1.3541913032531738,7.865137577056885,54.58551025390625,0.4438585031265702,8.172921180725098,3543.6805901310286,1.655861496925354
99,1,122.97953033447266,179.61045837402344,57.49713897705078,0.46753422147570434,3.0628550052642822,31.92086410522461,2.538322687149048,1.093356966972351,0.6871861815452576,4.751532554626465,56.57780838012695,0.3150028616883682,7.969950199127197,2892.713300986032,2.414170742034912
124,0,64.71566772460938,117.17577362060547,53.976806640625,0.8340608778383767,2.022836446762085,31.788936614990234,2.534454822540283,1.5910472869873047,1.0107522010803223,5.759303092956543,52.239444732666016,0.445821206159474,8.183829307556152,3582.5471024959775,1.5810164213180542
124,1,117.17577362060547,170.32984924316406,53.493309020996094,0.4565219188535746,2.853177309036255,31.788936614990234,2.5449512004852295,0.7407253980636597,0.43463853001594543,3.4747042655944824,52.76554870605469,0.30978450892437753,8.033645629882812,3082.9605440081887,2.2954273223876953
149,0,63.97943878173828,115.32049560546875,52.742919921875,0.8243729691590501,2.0825135707855225,32.928279876708984,2.5383195877075195,1.2568154335021973,0.9231193661689758,3.8466756343841553,51.71553421020508,0.4484505025251393,7.890815734863281,2672.623183612872,1.5632421970367432
149,1,115.32049560546875,167.68106079101562,52.968223571777344,0.45931318009937816,2.873303174972534,32.928279876708984,2.5460739135742188,0.6022728681564331,0.3811975121498108,1.7509125471115112,52.63852310180664,0.31392050390396753,7.706267356872559,2222.231959293888,2.2699739933013916
174,0,62.11236572265625,112.28223419189453,51.47097396850586,0.8286751496480907,2.119354724884033,33.13383865356445,2.537855386734009,1.2089908123016357,0.935008704662323,3.471649408340454,50.60397720336914,0.4506855208489903,7.845697402954102,2554.7187107933487,1.519242286682129
174,1,112.28223419189453,164.4325408935547,53.95442199707031,0.480525012532748,2.892282247543335,33.13383865356445,2.5461041927337646,0.5436109304428101,0.3819305896759033,1.586513876914978,53.68475341796875,0.3264849714233674,7.6849164962768555,2175.2883213485766,2.2215473651885986
199,0,61.148284912109375,109.58078002929688,49.51266098022461,0.8097146312982251,2.0518994331359863,33.587646484375,2.5386404991149902,1.1099615097045898,0.9546352028846741,1.9362396001815796,49.09446716308594,0.44802078562937886,7.856390476226807,2582.1830827364524,1.4843711853027344
199,1,109.58078002929688,160.4429168701172,52.76387023925781,0.48150661293281644,2.8343589305877686,33.587646484375,2.546891689300537,0.4460771083831787,0.3285498023033142,1.4521671533584595,52.52733612060547,0.32738956098544286,7.713664531707764,2238.731146072041,2.167348861694336
224,0,59.66103744506836,106.36560821533203,47.43952941894531,0.7951509300298834,2.142822742462158,34.16017532348633,2.5353829860687256,1.2110090255737305,1.0980569124221802,1.5029966831207275,47.24972152709961,0.44421991577392794,7.818971157073975,2487.345003831659,1.450043797492981
224,1,106.36560821533203,156.16592407226562,52.2351188659668,0.4910903038819505,2.986253261566162,34.16017532348633,2.546534538269043,0.41826918721199036,0.3458845019340515,1.7020912170410156,52.16883850097656,0.3340603195450941,7.666640281677246,2135.8933769527835,2.125908613204956
249,0,60.51542282104492,108.9587173461914,49.67207336425781,0.8208167610914489,2.095762014389038,34.58867263793945,2.5387210845947266,1.075884222984314,0.9665547013282776,1.2620189189910889,49.46542739868164,0.4539832020688783,7.849451065063477,2564.3262821255307,1.4796777963638306
249,1,108.9587173461914,162.56727600097656,58.576900482177734,0.5376063696738185,2.8631579875946045,34.58867263793945,2.5470733642578125,0.3649606704711914,0.33606088161468506,1.3064723014831543,58.372100830078125,0.35906427334205215,7.726692199707031,2268.087398745032,2.1941921710968018
274,0,56.642032623291016,101.20559692382812,45.30266571044922,0.7998064971245903,2.177119493484497,34.8282470703125,2.535926342010498,1.233202338218689,1.0872036218643188,1.614106297492981,45.31926727294922,0.447794081018865,7.724928855895996,2264.091504970243,1.3825820684432983
274,1,101.20559692382812,149.51927185058594,53.1280517578125,0.5249517157885008,2.966707468032837,34.8282470703125,2.547189474105835,0.319246768951416,0.3558085560798645,1.1705174446105957,52.928009033203125,0.3539878730987535,7.610800266265869,2019.893904044973,2.0367724895477295
