step,layer,iteration,grad_mu_norm,grad_sigma_norm,nat_grad_mu_norm,nat_grad_mu_raw_norm,delta_mu_norm,mu_norm,sigma_mean,sigma_max,sigma_min,sigma_std,delta_mu_norm,mu_norm,sigma_mean,effective_lr,scale_mean,mu_diff_to_prior_norm,beta_entropy,mu_change_rel
24,0,0,49.58549880981445,20.61052894592285,167.1547393798828,167.1547393798828,17.38665771484375,66.32167053222656,3.0334715843200684,12.36422348022461,0.7458586096763611,1.4356523752212524,17.38665771484375,66.32167053222656,3.0334715843200684,0.10401534289121628,1.0,29.419166564941406,2.5005249977111816,
24,0,1,32.47977828979492,20.63702392578125,89.02770233154297,89.02770233154297,9.224596977233887,63.03590393066406,3.0327045917510986,12.361021041870117,0.7457744479179382,1.435255765914917,9.224596977233887,63.03590393066406,3.0327045917510986,0.10361490398645401,1.0,22.909826278686523,2.509117841720581,0.1463387600857238
24,0,2,22.80426788330078,20.66030502319336,55.086910247802734,55.086910247802734,5.642025947570801,61.37104034423828,3.031946897506714,12.357856750488281,0.745686948299408,1.434863805770874,5.642025947570801,61.37104034423828,3.031946897506714,0.10242044180631638,1.0,19.632495880126953,2.5128190517425537,0.09193303413148288
24,0,3,16.763452529907227,20.67776870727539,36.615692138671875,36.615692138671875,3.678133487701416,60.44268035888672,3.0312039852142334,12.354754447937012,0.7455990314483643,1.4344793558120728,3.678133487701416,60.44268035888672,3.0312039852142334,0.10045237839221954,1.0,17.98528289794922,2.51469087600708,0.06085324914867211
24,0,4,12.793124198913574,20.68934440612793,25.700803756713867,25.700803756713867,2.5121097564697266,59.88776397705078,3.0304811000823975,12.35173511505127,0.7455126643180847,1.434105396270752,2.5121097564697266,59.88776397705078,3.0304811000823975,0.0977444052696228,1.0,17.15016746520996,2.5156843662261963,0.041946961937214866
24,0,5,10.090598106384277,20.696895599365234,18.854080200195312,18.854080200195312,1.7787476778030396,59.538997650146484,3.0297834873199463,12.348821640014648,0.7454293966293335,1.4337444305419922,1.7787476778030396,59.538997650146484,3.0297834873199463,0.09434285014867783,1.0,16.7185001373291,2.516223907470703,0.029875335973020372
24,0,6,8.194514274597168,20.70143699645996,14.390884399414062,14.390884399414062,1.2995821237564087,59.31073760986328,3.029115676879883,12.346033096313477,0.7453501224517822,1.4333990812301636,1.2995821237564087,59.31073760986328,3.029115676879883,0.09030591696500778,1.0,16.48843765258789,2.5165042877197266,0.021911413951479438
24,0,7,6.829651832580566,20.7039737701416,11.370049476623535,11.370049476623535,0.9744437336921692,59.156890869140625,3.028482437133789,12.343388557434082,0.745275616645813,1.433071494102478,0.9744437336921692,59.156890869140625,3.028482437133789,0.08570268005132675,1.0,16.361495971679688,2.516633987426758,0.016472193166523715
24,0,8,5.8237810134887695,20.70512580871582,9.266739845275879,9.266739845275879,0.7470093369483948,59.05067825317383,3.0278871059417725,12.340901374816895,0.7452062964439392,1.4327634572982788,0.7470093369483948,59.05067825317383,3.0278871059417725,0.08061188459396362,1.0,16.288864135742188,2.5166730880737305,0.012650310183124552
24,0,9,5.067101001739502,20.705364227294922,7.76305627822876,7.76305627822876,0.5831659436225891,58.97598648071289,3.027332305908203,12.338583946228027,0.7451424598693848,1.432476282119751,0.5831659436225891,58.97598648071289,3.027332305908203,0.07512066513299942,1.0,16.24581527709961,2.5166587829589844,0.009888193115929002
