step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,train_loss_aux_layer_ce,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_c0,alpha_b0,alpha_c0_std,alpha_b0_std,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec,holonomy_mean_norm,holonomy_max_norm,holonomy_frac_gt_01,holonomy_spectral_gap,holonomy_wilson_trace,num_chol_recover,num_chol_fail,num_nan_replace,num_inv_pinv,phi_effective_rank,phi_rank_ratio,phi_top1_variance_fraction,phi_top5_variance_fraction,phi_spectral_gap,phi_frobenius_norm,phi_mean_token_norm,phi_std_token_norm,vfe_grad_mu_self,vfe_grad_mu_direct,vfe_grad_mu_softmax,vfe_grad_mu_total,vfe_grad_sigma_self,vfe_grad_sigma_align_direct,vfe_grad_sigma_softmax,vfe_grad_sigma_total,vfe_kl_pairwise_mean,vfe_kl_pairwise_max,vfe_kappa_scaled,vfe_kl_frac_above_90pct,vfe_kl_p95,sigma_q_mean,sigma_q_min,sigma_q_max,sigma_q_std,sigma_q_cond_mean,sigma_q_cond_max,sigma_p_mean,sigma_p_min,sigma_p_max,prior_belief_kl_mean,prior_belief_kl_max,prior_belief_kl_std,phi_norm_mean,phi_norm_std,phi_norm_max,phi_pairwise_dist_mean,phi_pairwise_dist_max,attn_entropy_per_head_mean,attn_entropy_per_head_std,attn_entropy_per_head_min,attn_entropy_per_head_max,head_correlation_mean
100,1774896440.7982392,6.6682257652282715,6.652008056640625,0.0,0.0,0.0,0.0,,,774.3376793210394,9.596819035268862,,,0.0078125,0,10.226661682128906,0,3.8290019035339355,0.08146990090608597,0.05,0.005,0.0075,0,0.0865985290490957,0.01392145175486803,0.0028756186817478603,0.28909561038017273,0.07437627762556076,0.09540607780218124,0.6208779215812683,0.8130185008049011,1.2584694623947144,0.09533941000699997,0.3340332806110382,7.928955554962158,2.741654396057129,0.32811975479125977,24966.49433744552,,,,,,0,0,0,0,198.35476746929794,0.9917738373464897,0.030146514996886253,0.07621902972459793,1.3107454776763916,227.52899169921875,1.011245608329773,0.08646661788225174,50.47486447001341,55.72563368477109,3.6100781906900634,76.04061418679788,25.64736776387613,4.356535190626334,0.24907418502914164,24.398044925941107,1.7718352675437927,17.580320358276367,10.000000000000002,0.0,2.927408814430237,5.766704559326172,3.1850805282592773,15.028560638427734,0.9102839827537537,1.7214932441711426,3.5256028175354004,1.0146467685699463,0.7727110981941223,1.3227421045303345,33.647918701171875,46.25617599487305,3.6594138145446777,1.1860790252685547,0.21042202413082123,2.517534017562866,1.5861119031906128,3.035874128341675,3.7938289642333984,0.027052881196141243,3.7746996879577637,3.812958240509033,0.9366005659103394
200,1774896472.258642,6.241963863372803,6.222570419311523,0.0,0.0,0.0,0.0,,,503.99705223365845,8.977271485523092,,,0.0078125,0,11.358301162719727,0,3.815460681915283,0.0849924236536026,0.04999444324649045,0.004999444324649045,0.007499166486973567,0,0.09022880834479001,0.012708722613751888,0.0024541706620410395,0.14509864151477814,0.08249036967754364,0.038504358381032944,0.765417754650116,0.46732378005981445,1.824432611465454,0.19242483377456665,0.6117457747459412,7.115654945373535,2.559868097305298,0.31250500679016113,26213.98000672902,,,,,,0,0,0,0,187.9493809080487,0.9397469045402436,0.07419536262750626,0.2067086398601532,1.3597221374511719,264.345458984375,1.1555083990097046,0.23499976098537445,25.14868861057546,72.11715701622846,6.304039381070342,87.93437100041548,10.450507937025364,5.083705914072416,0.40591971526218074,10.351342277197743,2.924798846244812,20.77093505859375,10.000000000000002,0.0,4.5524046421051025,5.76411771774292,2.502995252609253,16.762287139892578,1.0463446378707886,1.8653725385665894,3.6844394207000732,1.0226843357086182,0.6277145743370056,1.984808087348938,33.11189270019531,44.60460662841797,3.596572160720825,1.285116195678711,0.2863139808177948,2.423550605773926,1.7230188846588135,3.5230178833007812,3.7746806144714355,0.00045063410652801394,3.774362087249756,3.7749993801116943,0.9553657174110413
300,1774896504.1693597,6.1345367431640625,6.114552021026611,0.0,0.0,0.0,0.0,,,452.3933392664076,8.821433877992682,,,0.0078125,0,15.956335067749023,0,3.7514488697052,0.11060277372598648,0.04997777545616258,0.004997777545616258,0.007496666318424387,0,0.14361367768590377,0.015864720568060875,0.002387053782670964,0.10965478420257568,0.05890767276287079,0.024404464289546013,0.4690999388694763,0.4110032021999359,2.027251958847046,0.1996830850839615,0.6043729186058044,6.790668964385986,2.8756515979766846,0.3131113052368164,26163.22011689779,,,,,,0,0,0,0,181.2382406145384,0.906191203072692,0.09446343779563904,0.2557627260684967,1.3549058437347412,285.69195556640625,1.2377727031707764,0.3032667934894562,20.31514434472783,68.39641994820461,5.41685119110928,83.351151830468,8.384270977693806,5.800269628064156,0.5090811101054633,9.527471444042181,2.737203359603882,18.553848266601562,10.000000000000002,0.0,3.9765762090682983,6.511671543121338,2.281083106994629,32.61228561401367,1.627305030822754,2.2574777603149414,8.659510612487793,1.0231283903121948,0.5714946985244751,2.14760684967041,39.507938385009766,60.4110107421875,5.513086318969727,1.2899889945983887,0.3471253514289856,2.661221981048584,1.7265288829803467,3.558312177658081,3.6629836559295654,0.011425168253481388,3.654904842376709,3.671062469482422,0.8791719079017639
400,1774896535.6422107,6.082151412963867,6.06012487411499,0.0,0.0,0.0,0.0,,,428.428933202933,8.74291210305355,,,0.0078125,0,20.711139678955078,0,3.6563632488250732,0.14130446314811707,0.04995000403852057,0.004995000403852057,0.007492500605778085,0,0.1251063849413878,0.01645714044570923,0.0013588746675713055,0.09225188940763474,0.05209438130259514,0.010814175941050053,0.35374873876571655,0.3777672052383423,2.027947425842285,0.20451632142066956,0.7327657341957092,6.777196407318115,3.295802354812622,0.31255173683166504,26210.060718402183,,,,,,0,0,0,0,176.85229687335266,0.8842614843667633,0.09963972866535187,0.27445220947265625,1.332736849784851,300.0767517089844,1.293103814125061,0.3458278775215149,18.011513553314487,66.13522541261331,6.512604642825272,79.50591438570486,7.432680663772272,7.115319271040472,1.0088736165098071,9.874727688294481,2.747130513191223,20.992740631103516,10.000000000000002,0.0,3.9529740810394287,7.660801887512207,1.925546407699585,36.40571975708008,2.601433277130127,2.866995334625244,8.562324523925781,1.0296986103057861,0.4822610020637512,2.9423727989196777,50.052001953125,99.72866821289062,11.568832397460938,1.3498961925506592,0.37947651743888855,3.0799829959869385,1.833320140838623,3.965625286102295,3.534177780151367,0.11078332364559174,3.4558420181274414,3.612513303756714,0.838199257850647
500,1774896567.129999,5.963099479675293,5.938885688781738,0.0,0.0,0.0,0.0,,,379.51179957696235,8.56800093161185,,,0.0078125,0,23.122047424316406,0,3.601698398590088,0.15339961647987366,0.049911141339078216,0.004991114133907821,0.007486671200861732,0,0.31356160416118856,0.018320860341191292,0.0073194757234546414,0.08358271420001984,0.057109903544187546,0.00808357447385788,0.5147608518600464,0.3559580147266388,2.024489164352417,0.23289823532104492,0.9133093357086182,7.245902061462402,3.9267733097076416,0.31250524520874023,26213.96000738513,,,,,,0,0,0,0,173.56287349391405,0.8678143674695703,0.0995592474937439,0.28061556816101074,1.3177299499511719,313.6898498535156,1.3456404209136963,0.3836894929409027,16.695363115511963,69.40226925170516,8.520804399609144,80.24810748583833,6.848925980931902,7.9546669788375866,1.3880836232982443,10.075088222245308,3.077762722969055,28.706165313720703,10.000000000000002,0.0,4.557606101036072,8.078486442565918,1.3011281490325928,38.04618453979492,2.815157175064087,2.9769692420959473,8.202534675598145,1.0180546045303345,0.3257995545864105,4.278180122375488,56.230674743652344,138.68832397460938,15.890654563903809,1.4172149896621704,0.3900708556175232,3.2290966510772705,1.9177446365356445,4.169621467590332,3.4938805103302,0.0673530250787735,3.4462547302246094,3.541506290435791,0.7995349168777466
600,1774896598.649097,6.0162482261657715,5.989044189453125,0.0,0.0,0.0,0.0,,,399.0330276196129,8.640364351788886,,,0.0078125,0,26.659099578857422,0,3.5184550285339355,0.17086181044578552,0.04986120463387084,0.004986120463387084,0.007479180695080625,0,0.19690336899273414,0.022100405767560005,0.007649360684790142,0.08183830231428146,0.06855244934558868,0.0051213763654232025,0.6913630366325378,0.3424823582172394,1.9638919830322266,0.26033657789230347,1.0681676864624023,7.644791603088379,4.694589138031006,0.3125040531158447,26214.060004409734,,,,,,0,0,0,0,170.8656753749543,0.8543283768747715,0.09725125133991241,0.2796763479709625,1.303400993347168,326.98638916015625,1.3971383571624756,0.41889721155166626,16.609964710572815,73.47052046260214,11.021924155363369,82.71448637303043,7.194247455347054,8.266479940394113,1.6522337398930023,10.337798752361598,3.6254743337631226,65.29248046875,10.000000000000002,0.0,5.5127140283584595,8.365771293640137,0.8948467373847961,38.357025146484375,3.1467912197113037,3.09220552444458,8.595247268676758,1.0134538412094116,0.22404423356056213,4.375894546508789,61.75910186767578,204.7200927734375,22.615863800048828,1.5011422634124756,0.41670289635658264,3.4162468910217285,2.0256059169769287,4.2587151527404785,3.423093318939209,0.11317119747400284,3.343069314956665,3.503117561340332,0.782588005065918
700,1774896630.184505,5.8240156173706055,5.795121192932129,0.0,0.0,0.0,0.0,,,328.692016717453,8.360592606393716,,,0.0078125,0,32.09514617919922,0,3.4126791954040527,0.19576184451580048,0.049800216121775404,0.00498002161217754,0.007470032418266309,0,0.12897711046027804,0.019179536029696465,0.0007076622957177636,0.07317417114973068,0.06438516825437546,0.003776240861043334,0.6819787621498108,0.31647616624832153,1.9075244665145874,0.24081797897815704,1.1846617460250854,8.286468505859375,5.223006248474121,0.31313562393188477,26161.18823255311,,,,,,0,0,0,0,168.4679797936742,0.842339898968371,0.09387176483869553,0.27416589856147766,1.2862212657928467,341.0005798339844,1.4519550800323486,0.4533940255641937,14.028029732678549,76.74044553242227,13.420891763619425,83.17780094732126,6.258972373402675,9.34379213496683,2.0616484854122596,10.466431113273668,4.027964949607849,70.28561401367188,10.000000000000002,0.0,6.2082200050354,8.850356101989746,0.7232730388641357,45.28174591064453,3.3713600635528564,3.237067699432373,10.880553245544434,1.0040825605392456,0.18091285228729248,4.750738620758057,69.6754150390625,219.4469757080078,27.363136291503906,1.5483486652374268,0.4245651066303253,3.319960117340088,2.1140213012695312,4.446347236633301,3.1668763160705566,0.41947123408317566,2.870265245437622,3.463487148284912,0.6630425453186035
800,1774896661.7156785,5.824796676635742,5.793416500091553,0.0,0.0,0.0,0.0,,,328.13217510436897,8.35813325448638,,,0.0078125,0,38.76240158081055,0,3.283315658569336,0.22734776139259338,0.04972820291464219,0.004972820291464218,0.007459230437196328,0,0.30369525944575576,0.020083049312233925,0.014522259793069713,0.0676484927535057,0.06393830478191376,0.0036079734563827515,0.6314879655838013,0.2959659993648529,1.8310531377792358,0.23532001674175262,1.281876564025879,8.529402732849121,5.741107940673828,0.324845552444458,25218.13809164177,,,,,,0,0,0,0,166.4646226406123,0.8323231132030615,0.08989053219556808,0.26590195298194885,1.274800181388855,354.048583984375,1.5040658712387085,0.48164114356040955,12.510685004033832,76.45685200499565,15.86458177180586,80.21586535171139,5.580760838115784,9.753596846629499,2.6564418599031847,9.987975282795622,4.426642179489136,132.7156219482422,10.000000000000002,0.0,7.002665996551514,9.363934516906738,0.5852771997451782,130.7012176513672,3.892853021621704,3.5310263633728027,21.26209831237793,0.9893089532852173,0.14636977016925812,5.202759265899658,78.74819946289062,314.7702331542969,33.64107131958008,1.6176592111587524,0.42779964208602905,3.423841714859009,2.2328884601593018,4.7018046379089355,3.0229997634887695,0.5151029229164124,2.658766984939575,3.387232542037964,0.5957064628601074
900,1774896693.2246215,5.85691499710083,5.82358455657959,0.0,0.0,0.0,0.0,,,338.1821164957732,8.401656559974928,,,0.0078125,0,44.4501953125,0,3.1824870109558105,0.24958911538124084,0.049645197025242505,0.00496451970252425,0.007446779553786375,0,0.3808201578157862,0.021846355870366096,0.0011269061757867615,0.0648396834731102,0.06317343562841415,0.0024284578394144773,0.5241511464118958,0.2773946523666382,1.7556850910186768,0.22121842205524445,1.3559908866882324,9.377684593200684,6.8543219566345215,0.3125159740447998,26213.060068493203,,,,,,0,0,0,0,164.61588777534806,0.8230794388767403,0.08573722094297409,0.25615304708480835,1.2666187286376953,367.072021484375,1.5563279390335083,0.508827269077301,11.261096470828296,80.48335467646983,18.98974316953806,82.91627657706925,5.158995507901868,11.080814054462762,3.1611501606172716,10.58088725296594,5.037368297576904,149.18238830566406,10.000000000000002,0.0,8.010668277740479,9.45385456085205,0.5497593879699707,157.3638153076172,4.343072414398193,3.8932995796203613,32.5758171081543,0.9817310571670532,0.1233777180314064,5.661066055297852,83.32665252685547,378.5535888671875,39.80014419555664,1.6687657833099365,0.4340920150279999,3.774523973464966,2.2626051902770996,4.713871002197266,2.9587011337280273,0.6173744797706604,2.522151470184326,3.3952507972717285,0.5436973571777344
1000,1774896724.7445614,6.020055770874023,5.985054969787598,0.0,0.0,0.0,0.0,5.69694358587265,5.69694358587265,397.4443680813837,8.634609124360413,297.95538330078125,8.218952259562661,0.0078125,0,49.50238800048828,0,3.088359832763672,0.274952232837677,0.04955123535303776,0.004955123535303776,0.007432685302955663,0,0.21756538022326719,0.022004559636116028,0.002948807915280639,0.06320144981145859,0.06589560955762863,0.0027616170700639486,0.5325866341590881,0.26496559381484985,1.7003138065338135,0.2161269634962082,1.4137367010116577,9.585020065307617,7.345654487609863,0.31250572204589844,26213.9200087889,,,,,,0,0,0,0,162.89786934157536,0.8144893467078768,0.08166864514350891,0.24637563526630402,1.2561814785003662,379.60382080078125,1.606931447982788,0.5338730812072754,10.526591843239277,82.45605744310419,20.27578120457024,84.0504608023287,5.015785622302073,12.38397798811239,3.3504572716446317,11.440234784913496,5.61388897895813,146.329345703125,10.000000000000002,2.384185791015625e-07,9.012661933898926,9.69409465789795,0.4862627685070038,169.4095916748047,4.72360372543335,4.23771333694458,35.54512023925781,0.9794220328330994,0.10204112529754639,6.211945056915283,88.68095397949219,407.27825927734375,44.76851272583008,1.7091012001037598,0.44834792613983154,3.9140067100524902,2.330016613006592,5.171771049499512,2.906039237976074,0.7666370272636414,2.3639450073242188,3.4481334686279297,0.5469180345535278
