step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_a0,alpha_b0,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
50,1770681817.05793,14.449166297912598,7.598026275634766,6.534242153167725,0.31689783930778503,0.0,,,1994.255896693921,10.961634828402318,,,0.007812504656612873,0,0.4757041037082672,0,3.8335814476013184,0.05572979897260666,,,,,,,,,,,,,,,,0.025,0,0.0025,0.025,3.258088006518075,0.8802855610847473,0.022497792047020508,0.9001571536064148,0.025713199749588966,0.8128771781921387,0.9507840275764465,0.9190789461135864,13.04410171508789,2.6396799087524414,0.8347935676574707,0.46889734268188477,13103.081294637
100,1770681841.043407,7.575840950012207,7.306175708770752,0.20921571552753448,0.06044979766011238,0.0,,,1489.4701158914288,10.540583462906971,,,0.007812504656612873,0,0.007912048138678074,0,3.8402576446533203,0.05029280483722687,,,,,,,,,,,,,,,,0.05,0,0.005,0.05,0.2509144581957461,0.05180403217673302,0.0031933899556137843,1.4305691719055176,0.031911060214042664,1.1923069953918457,1.464210867881775,3.082777738571167,10.276901245117188,0.5437923669815063,0.5024346113204956,0.49363160133361816,12446.528916303338
150,1770681865.0031743,6.964719295501709,6.617805004119873,0.30187442898750305,0.04503966495394707,0.0,,,748.3007760126155,9.547474461013907,,,0.007812504656612873,0,0.01212740782648325,0,3.8402137756347656,0.05031408369541168,,,,,,,,,,,,,,,,0.04999950230121613,0,0.004999950230121612,0.04999950230121613,0.15159831665633267,0.040000997483730316,0.004025341161012623,1.5602757930755615,0.02246192656457424,1.3446025848388672,1.5852937698364258,3.4255404472351074,9.70592975616455,0.3652517795562744,0.2970283031463623,0.46889638900756836,13103.107944601448
200,1770681888.9599104,6.892110824584961,6.511229991912842,0.34244677424430847,0.038433995097875595,0.0,,,672.6532670563987,9.393719219420143,,,0.007812504656612873,0,0.013280031271278858,0,3.840181350708008,0.05034240335226059,,,,,,,,,,,,,,,,0.049998010694980624,0,0.004999801069498063,0.049998010694980624,0.1705381018999356,0.03786623105406761,0.0029637273322514627,1.4117813110351562,0.016745002940297127,1.2216260433197021,1.4290486574172974,2.5814778804779053,10.183300971984863,0.29325932264328003,0.2539311647415161,0.46889615058898926,13103.114607109497
250,1770681912.99722,6.700922012329102,6.324466705322266,0.3468036949634552,0.029651518911123276,0.0,,,558.0601237999521,9.124276752035794,,,0.007812504656612873,0,0.013923019170761108,0,3.840165853500366,0.05033547803759575,,,,,,,,,,,,,,,,0.04999552369117737,0,0.004999552369117737,0.04999552369117737,0.2289463524603157,0.03991548717021942,0.004705134644702232,1.3205127716064453,0.01339460164308548,1.0914194583892822,1.330451488494873,1.9293845891952515,10.448461532592773,0.20230333507061005,0.22631891071796417,0.4845263957977295,12680.423715377678
300,1770681937.051134,6.593628883361816,6.232687473297119,0.3352366089820862,0.025704827159643173,0.0,,,509.1218980780937,8.991867309136518,,,0.007812504656612873,0,0.01377452164888382,0,3.8401527404785156,0.050312500447034836,,,,,,,,,,,,,,,,0.04999204128980637,0,0.004999204128980637,0.04999204128980637,0.47202596579189005,0.03807881474494934,0.012876047199044558,1.2669872045516968,0.01242968998849392,1.1103572845458984,1.274954915046692,1.4835113286972046,10.560233116149902,0.1660742610692978,0.2215702086687088,0.4845261573791504,12680.429954976013
350,1770681961.1311793,6.392031669616699,6.026554107666016,0.3413115441799164,0.02416612021625042,0.0,,,414.2849854528717,8.694479724778773,,,0.007812504656612873,0,0.01339543703943491,0,3.840135097503662,0.05037490278482437,,,,,,,,,,,,,,,,0.04998756498098374,0,0.004998756498098373,0.04998756498098374,0.23724288855419,0.03834158182144165,0.008547903857778573,1.2509697675704956,0.013220296241343021,1.0542770624160767,1.2582005262374878,1.2280683517456055,10.499741554260254,0.15156851708889008,0.2416161298751831,0.4822230339050293,12740.99237907831
400,1770681985.2305734,6.46086311340332,6.110402584075928,0.3245525062084198,0.02590796910226345,0.0,,,450.5200508621034,8.815447505881448,,,0.007812504656612873,0,0.012621957808732986,0,3.8401403427124023,0.05032996088266373,,,,,,,,,,,,,,,,0.04998209327459335,0,0.004998209327459336,0.04998209327459335,0.22328673471304342,0.03877515718340874,0.007279804758796935,1.217478632926941,0.014245910570025444,0.978876531124115,1.2255651950836182,0.942587673664093,10.545404434204102,0.17366215586662292,0.27168208360671997,0.4845266342163086,12680.417475785483
450,1770682009.3456998,6.2995100021362305,6.0104660987854,0.26230213046073914,0.026742158457636833,0.0,,,407.67329202391375,8.671269634148931,,,0.007812504656612873,0,0.010746312327682972,0,3.8401832580566406,0.05030428618192673,,,,,,,,,,,,,,,,0.049975629150867465,0,0.0049975629150867465,0.049975629150867465,0.22710791822408788,0.03858823701739311,0.0007342305294706732,1.1866389513015747,0.017014704644680023,0.8988009095191956,1.1954171657562256,0.7098684906959534,10.61786937713623,0.19092974066734314,0.35253456234931946,0.47739315032958984,12869.89558974236
500,1770682033.492694,6.439487934112549,6.1100945472717285,0.3032236397266388,0.02616964653134346,0.0,6.190099048614502,5.8696636199951175,450.381295477388,8.81500310271162,354.1298828125,8.468134596253318,0.007812504656612873,0,0.012521624565124512,0,3.840146780014038,0.05032080411911011,,,,,,,,,,,,,,,,0.04996816962957382,0,0.0049968169629573825,0.04996816962957382,0.2712720602768673,0.036446426063776016,0.000429821073097748,1.1587245464324951,0.01611703261733055,0.8051171898841858,1.167263150215149,0.5255346298217773,10.724180221557617,0.17602543532848358,0.3518224358558655,0.4845263957977295,12680.423715377678
