step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,grad_norm_ffn,grad_norm_other,lr_current,tokens_per_sec,step_time,beta_loss,attention_entropy,attention_concentration
100,1.3693919803749697e-05,7.100777626037598,6.8827643394470215,975.3187488295747,9.92972998012762,,,,0.22423708837096143,0.025014016777276993,0.0020683773327618837,0.0018434154335409403,6.28642737865448e-09,0,0.05,3503.6389144265368,0.5845351219177246,0,3.7506744861602783,0.08857017010450363
200,2.7387839607499394e-05,6.707908630371094,6.480349540710449,652.198876492049,9.349168145610037,,,,0.2210693054903369,0.029706504195928574,0.002644002204760909,0.00252212630584836,3.4924596548080444e-10,0,0.049999655783176424,3639.6917517770644,0.5626850128173828,0,3.7154898643493652,0.09901006519794464
300,4.108175941124909e-05,6.646792411804199,6.363216400146484,580.109222314264,9.180180744594654,,,,0.32328968309509754,0.03844912350177765,0.0046919118613004684,0.0035295584239065647,1.8480932340025902e-09,0,0.04999862462282181,3541.3794548955098,0.578305721282959,0,3.7235562801361084,0.09512960910797119
400,5.477567921499879e-05,6.444888591766357,6.118099212646484,454.00091463165325,8.826551393751755,,,,0.43109615325975875,0.036647774279117584,0.004846734926104546,0.0039980486035346985,3.14321368932724e-09,0,0.04999690502882004,3561.8614172418625,0.5749802589416504,0,3.7238516807556152,0.09552258998155594
500,6.846959901874849e-05,6.5637664794921875,6.184356212615967,485.1005614379874,8.922140039031907,,,,0.808176126880325,0.038003306835889816,0.006441948935389519,0.004639225546270609,9.290073649026453e-06,0,0.04999449849128723,3727.4289622133892,0.5494403839111328,0,3.7238974571228027,0.09364737570285797
600,8.216351882249818e-05,6.431993007659912,6.014561653137207,409.3463638889421,8.677178270101974,,,,0.8227947389566302,0.048479095101356506,0.005598205607384443,0.005371261853724718,8.731149137020111e-10,0,0.049991405010223394,3508.9616425496906,0.5836484432220459,0,3.724775552749634,0.0927622839808464
700,9.585743862624787e-05,6.266467571258545,5.793506622314453,328.16174843798177,8.358263273370431,,,,0.3639814285431078,0.03741539269685745,0.005987226497381926,0.00603147828951478,2.2080494090914726e-06,0,0.04998762309551239,3413.639079033698,0.5999462604522705,0,3.6945619583129883,0.10053884983062744
800,0.00010955135842999758,6.517945289611816,6.006420135498047,406.02719312453536,8.665432542978648,,,,0.4526751732838073,0.03806144744157791,0.005617647897452116,0.006124013103544712,1.5847443137317896e-05,0,0.04998315423727036,3558.047603642905,0.5755965709686279,0,3.6989779472351074,0.09999161958694458
900,0.00012324527823374726,6.569125175476074,6.024482727050781,413.4277317207158,8.691491354237382,,,,0.8763328327371248,0.03879855200648308,0.006451508961617947,0.006263800896704197,7.56265944801271e-06,0,0.049977996945381166,3607.070159938457,0.5677738189697266,0,3.6926140785217285,0.10061593353748322
1000,0.00013693919803749698,6.630422592163086,6.022261619567871,412.5104833228783,8.688286973486505,6.327092435359955,323.79693603515625,8.338945573206935,0.8809704816942944,0.03602819889783859,0.005235606338828802,0.006006790325045586,5.474011413753033e-05,0,0.04997215420007706,3647.4593668234083,0.5614867210388184,0,3.7004032135009766,0.09605669230222702
1100,0.00015063311784124667,6.377390384674072,5.744987964630127,312.61986531170413,8.288265646538663,,,,0.406351569986305,0.03668596222996712,0.00520265381783247,0.006618980783969164,0.0008964217267930508,0,0.04996562451124192,3639.750356138937,0.562675952911377,0,3.702420234680176,0.09502974152565002
1200,0.00016432703764499636,6.577101230621338,5.889383316040039,361.1824802372977,8.496584103945164,,,,0.46593409837660915,0.03614385426044464,0.005496709607541561,0.007120433729141951,5.5553275160491467e-05,0,0.04995840638875962,3639.750356138937,0.562675952911377,0,3.695300579071045,0.10072873532772064
1300,0.00017802095744874605,6.504260063171387,5.767025947570801,319.58585279683115,8.32005973523837,,,,0.4222546695460505,0.03471183404326439,0.005256264936178923,0.007122940383851528,0.001822647755034268,0,0.049950502812862396,3639.7518983844716,0.5626757144927979,0,3.6852633953094482,0.10039179772138596
1400,0.00019171487725249574,6.800652027130127,6.002921104431152,404.6089740051314,8.660384508210523,,,,0.79726143340692,0.03443695604801178,0.004958221223205328,0.006905519403517246,0.00027036317624151707,0,0.049941913783550264,3641.1527969056324,0.5624592304229736,0,3.687303304672241,0.09986525028944016
1500,0.00020540879705624544,6.664801120758057,5.858708381652832,350.27143470746654,8.452329528225146,,,,0.6382982382075262,0.03663761913776398,0.00584406079724431,0.007975365035235882,2.3283064365386963e-09,0,0.049932637810707094,3639.7966240735186,0.5626688003540039,0,3.666105031967163,0.10440169274806976
1600,0.00021910271685999516,6.5768537521362305,5.715603828430176,303.5674506360368,8.245873298962188,,,,0.7405241344246407,0.033550843596458435,0.0064564840868115425,0.007829228416085243,0.000819842447526753,0,0.049922676384449007,3639.756525128918,0.5626749992370605,0,3.6548001766204834,0.10604465007781982
1700,0.00023279663666374485,6.719627857208252,5.748318672180176,313.66284662605983,8.29307084180377,,,,0.8075930822431793,0.039077676832675934,0.007056673057377338,0.009029047563672066,1.1204974725842476e-08,0,0.04991202801465988,3639.754982879462,0.5626752376556396,0,3.6593852043151855,0.1062217727303505
1800,0.0002464905564674945,6.568808555603027,5.6328558921813965,279.4590840794817,8.126493261692278,,,,0.5407957793818177,0.03692375496029854,0.006245416589081287,0.00856644008308649,2.1488522179424763e-06,0,0.04990069568157196,3743.740776010589,0.547046422958374,0,3.6443591117858887,0.10928548872470856
1900,0.00026018447627124423,6.645513534545898,5.623129844665527,276.7542268562776,8.112461541173683,,,,0.829830817280858,0.03718680515885353,0.006186323706060648,0.00897323526442051,1.0477378964424133e-08,0,0.04988867938518524,3663.3272527608433,0.5590546131134033,0,3.6519861221313477,0.10735300183296204
2000,0.00027387839607499395,6.784412384033203,5.7222514152526855,305.59216389314116,8.255463739504902,6.483480324745178,254.96803283691406,7.994172420815073,0.619587310107227,0.035582393407821655,0.00647308211773634,0.009059016592800617,6.170012056827545e-09,0,0.04987597614526749,3639.748813894709,0.562676191329956,0,3.663682222366333,0.10637432336807251
2100,0.0002875723158787436,6.974532127380371,5.833070755004883,341.4054435450444,8.415342251399986,,,,0.7440375927035231,0.038268670439720154,0.007640411611646414,0.009886473417282104,1.635635271668434e-08,0,0.04986259043216706,3639.750356138937,0.562675952911377,0,3.6429712772369385,0.10866059362888336
2200,0.00030126623568249334,6.8177385330200195,5.65680456161499,286.2325412136368,8.161043888320012,,,,0.492260120334344,0.0313338041305542,0.005821969360113144,0.008883034810423851,2.444721758365631e-09,0,0.049848520755767824,3639.750356138937,0.562675952911377,0,3.6354072093963623,0.11033714562654495
2300,0.000314960155486243,6.568688869476318,5.4034504890441895,222.171696153376,7.7955312242330965,,,,0.5710233153425707,0.04342488944530487,0.007761856075376272,0.010380775667726994,3.3178366720676422e-09,0,0.04983376562595368,3639.750356138937,0.562675952911377,0,3.6064469814300537,0.11677487939596176
2400,0.0003286540752899927,6.912872314453125,5.683041572570801,293.84181330968585,8.198895893913711,,,,0.7745609702490489,0.039487577974796295,0.0070464881137013435,0.010069482028484344,0.00025286927120760083,0,0.04981832951307297,3639.7534406313134,0.5626754760742188,0,3.6436686515808105,0.10991770774126053
