token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23
16,digit,0.35128325,-0.34965178,-0.12423801,0.10939129,0.08305594,-0.033359423,0.2572215,-0.2520382,-0.06916224,0.54280305,-0.16910012,-0.13283388,0.09423763,0.21556357,0.54368514,0.41101074,-0.31210038,0.122984275,0.5730596,0.31302512,0.58840626,-0.3077988,-0.2943706,-0.13719425
17,digit,0.13376242,-0.2974532,0.04667231,0.08072277,0.3216003,-0.12545091,-0.0886584,0.048797924,0.1876885,0.5482929,-0.28484786,-0.4002728,0.2939568,0.1310165,0.8468839,0.548231,-0.1375351,0.27976635,0.3281029,0.28932154,0.524234,-0.2858658,-0.5677562,-0.3410609
18,digit,0.302341,-0.35379532,0.00052826497,0.10569184,0.02622178,-0.21413116,-0.0821594,-0.31411248,0.3419908,0.68127155,-0.06349807,-0.024773518,0.46630102,0.20210107,0.45674685,0.38031095,-0.16578448,0.08251147,0.39039385,0.20454323,0.5082244,-0.39494714,0.011648791,-0.13009802
19,digit,0.23403944,-0.53960615,0.16702871,0.03319266,0.16481276,0.07158644,0.05107765,-0.3742979,0.51864004,0.6784167,-0.33198646,-0.27872467,0.5517598,0.15006164,0.3601972,0.5401729,-0.21901426,0.048552,0.43164843,0.22421338,0.36514512,-0.45037568,-0.13180676,0.10415404
20,digit,0.018695023,-0.45745987,-0.0517281,0.15578285,0.061936177,-0.3666371,0.03320399,-0.1764447,0.28584096,0.40587446,-0.3233765,0.21420291,0.17209873,0.50255984,0.7766945,0.22125845,-0.03244285,-0.13728637,0.56993055,0.20543788,0.7911721,-0.5017566,-0.018542591,-0.23990135
21,digit,0.2519094,-0.4783259,0.38562515,-0.041661,0.25492704,-0.0733672,0.11606826,-0.30793577,0.44250384,0.66089445,-0.51837516,-0.12444091,0.36636516,0.35360536,0.41015834,0.33006382,-0.029839652,-0.14720558,0.34418705,0.4260541,0.5286222,-0.61658674,-0.31859243,0.059559736
22,digit,0.24467398,-0.40304014,0.12699382,0.060477797,-0.17603873,-0.3956863,0.41953313,0.008735479,0.19572286,0.8866599,-0.2816001,-0.15704069,0.046277992,-0.09742127,0.3265263,0.6752496,-0.2767055,0.08480055,0.5622617,0.3925679,0.71557134,-0.42180339,-0.41659048,-0.040667508
23,digit,0.1274169,-0.21007872,0.101980284,0.20640326,-0.031067694,0.03782351,0.19907503,-0.306211,0.005662039,0.47189686,-0.36234602,-0.0011037822,0.18405563,0.482074,0.4383961,0.3399956,-0.22941688,-0.10872827,0.19767697,0.2577983,0.5861261,-0.4410061,-0.28632167,0.011104402
24,digit,0.22885859,-0.3168294,0.47171107,-0.05269255,0.0030202528,-0.1156393,0.056060858,0.20681465,-0.00373482,0.41935822,-0.5415933,0.14229211,-0.021387193,0.57443017,0.3032631,0.4909963,-0.54586476,0.068299375,0.118082605,0.13810569,0.6175094,-0.23250225,-0.06401762,0.11484938
25,punct,0.026724767,0.01400111,-0.013860737,0.028692665,0.009877958,0.019264052,-0.021685136,-0.01214377,0.03194349,0.009116669,-0.02285334,0.007825062,0.008860543,0.020308329,-0.022361351,0.031174872,0.011027922,0.0034944664,0.009316442,-0.0019423447,0.012261796,0.026541062,0.0032726936,-0.006917963
