step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,lr_current,tokens_per_sec,step_time,beta_loss,attention_entropy,attention_concentration
100,1.3693912302816222e-05,7.608834743499756,7.271867275238037,1439.2353941076012,10.491086855988655,,,,0.17558163378208533,0.031625621020793915,0.0038646613247692585,0.02659137174487114,0.05,2848.5012233062894,0.35948729515075684,0,3.140594005584717,0.09127826243638992
200,2.7387824605632445e-05,6.9104509353637695,6.603734970092773,737.8458814680533,9.527175692697872,,,,0.3358120460354871,0.044958945363759995,0.002596626989543438,0.022876203060150146,0.0499998763203621,2848.50311248589,0.35948705673217773,0,3.1401712894439697,0.09236400574445724
300,4.1081736908448665e-05,6.986486434936523,6.702541828155518,814.4734478251801,9.669723856830812,,,,0.6396580431883949,0.04359085485339165,0.0024630322586745024,0.025654930621385574,0.049999505281448364,2848.5050016679966,0.35948681831359863,0,3.1391921043395996,0.09374114871025085
400,5.477564921126489e-05,6.621187210083008,6.371002197265625,584.6434634620416,9.191413275487808,,,,0.37153747029603534,0.04588570445775986,0.0023718688171356916,0.026779556646943092,0.04999888688325882,2848.5050016679966,0.35948681831359863,0,3.137026786804199,0.09602423012256622
500,6.84695615140811e-05,6.760156631469727,6.490006446838379,658.5276086225966,9.36310011619113,,,,0.938130819859078,0.049140751361846924,0.002513084327802062,0.025764061138033867,0.049998022615909576,2848.493666612946,0.35948824882507324,0,3.1333086490631104,0.09853290021419525
600,8.216347381689733e-05,6.896729469299316,6.623740196228027,752.7552909976149,9.556037133235066,,,,0.7254685940657423,0.04655728489160538,0.002760021947324276,0.03128012642264366,0.0499969094991684,2848.5068908526086,0.35948657989501953,0,3.1307930946350098,0.10064337402582169
700,9.585738611971355e-05,6.947457313537598,6.643146991729736,767.5065331937909,9.584035220864926,,,,0.4405924400070676,0.04178209602832794,0.0036201723851263523,0.0307844877243042,0.04999555051326752,2848.50311248589,0.35948705673217773,0,3.122467279434204,0.10415828227996826
800,0.00010955129842252978,6.4996657371521,6.2386794090271,512.1816816286076,9.000511845099485,,,,0.49879561810584067,0.04602306708693504,0.0030467442702502012,0.029567735269665718,0.049993942677974704,2848.4993341291947,0.35948753356933594,0,3.115034580230713,0.1083197146654129
900,0.000123245210725346,6.516774654388428,6.262276649475098,524.4114832195909,9.034555466872478,,,,0.5948528198934533,0.04620450362563133,0.003747205249965191,0.034005723893642426,0.04999208897352219,2848.4955557825233,0.35948801040649414,0,3.10829496383667,0.11174154281616211
1000,0.0001369391230281622,6.442127227783203,6.170718193054199,478.5296593832964,8.902464535842599,6.395535686016083,457.1484069824219,8.836518968170239,0.6113047648065886,0.04409502446651459,0.004024941474199295,0.03742830455303192,0.04998998790979386,2848.5068908526086,0.35948657989501953,0,3.096527338027954,0.11670435220003128
