token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4
0,punct,-0.039481588,-0.029083839,0.03286114,0.0144166695,0.017852718
1,punct,-0.018765312,0.0049611675,0.020156916,-0.024132516,-0.015507903
2,punct,-0.008788384,-0.020844761,0.012934524,-0.00091615337,0.003136853
3,punct,-0.013069004,0.03200048,-0.008061525,-0.012079001,-0.00643879
4,punct,0.0033197133,-0.011339885,-0.0061286967,-0.009943744,0.011310983
5,punct,0.022544557,0.0041457433,0.011666824,0.022075769,-0.021046348
6,punct,0.04619778,-0.00078824465,0.007819343,0.008214793,-0.009368846
7,punct,-0.024558995,-0.016400512,0.005734681,-0.026552672,-0.012046178
8,punct,0.016336141,-0.026344452,0.014888773,0.0039079743,0.013262668
9,punct,-0.019658081,0.0058966917,-0.037922524,-0.008946857,0.015487707
10,punct,-0.012830605,-0.016593214,-0.0014430886,0.007068951,-0.00526953
11,punct,0.0053046066,-0.009597563,-0.015456431,-0.021734912,-0.01533006
12,punct,0.01836485,0.006343914,0.014802071,-0.01709779,-0.008906704
13,punct,-0.007556243,-0.0009366838,-0.007121226,0.00034031487,-0.015153053
14,punct,-0.0023498826,-0.027302872,0.041408103,-0.017104225,-0.011904814
15,digit,-0.009492871,-0.030178493,-0.008462135,0.019803898,-0.01664943
16,digit,0.0011790558,-0.003934427,-0.024863584,0.02263147,-0.008771755
17,digit,0.0009379392,-0.014453157,-0.009628769,-0.017941492,0.0011873479
18,digit,-0.023381038,-0.023611048,-0.007886895,0.02007223,0.024649289
19,digit,-0.009803002,0.01435985,-0.009365228,0.039046858,-0.049370844
20,digit,-0.0021700528,0.02101642,-0.040030822,0.038955007,0.0007895927
21,digit,0.0059940075,-0.022536822,-0.029107112,-0.05118859,-0.021116678
22,digit,0.00040583473,0.031313978,0.0039196014,-0.013746292,-0.027017662
23,digit,0.0023487706,-0.02641465,0.023564868,-0.008325535,0.008203189
24,digit,0.023274753,0.028965546,0.054999992,-0.0024823127,0.040594533
25,punct,-0.04185379,0.008309239,-0.023893239,2.4952496e-06,-0.000990557
26,punct,-0.019335875,-0.0036441002,0.0051355204,-0.002475046,0.028560856
27,punct,0.010036827,0.008076632,0.012522614,0.014326413,-0.00021337156
28,punct,0.048599504,0.019294754,0.019320872,-0.026730465,-0.02051428
29,punct,-0.005008393,0.00170596,0.013494485,-0.0327111,-0.042481177
30,punct,-0.02523591,0.002595573,-0.0004608737,-0.006300056,-0.010656588
31,punct,-0.015203421,-0.006110009,0.01756505,0.009887549,0.0057289368
32,letter,-0.013133928,0.01465417,-0.0119052315,-0.0106587475,-0.007899554
33,letter,-0.033750225,-0.0061314683,0.0049601896,0.01517626,-0.03211911
34,letter,0.014972093,-0.004669312,0.028455006,-0.0062346295,-0.020984253
35,letter,0.025787182,-0.018729953,-0.015266082,-0.018183481,0.008026554
36,letter,-0.0015437655,0.021687103,0.0029105844,0.007421245,0.03377105
37,letter,0.020389061,0.013033927,-0.010249774,0.004634326,0.0047406657
38,letter,-0.012217471,-0.035229087,0.02993155,0.022145247,-0.0016468817
39,letter,0.015697729,0.006994422,0.0062638274,-0.022830626,-0.010343119
40,letter,-0.044069808,0.013429405,0.0067819143,0.019838884,-0.030603243
41,letter,0.006521629,-0.027164923,0.03175928,-0.011728641,-0.011257922
42,letter,-0.008402049,0.0064274888,0.0019787177,-0.00430922,-0.015643647
43,letter,0.036817484,0.039323207,-0.005793872,0.024649179,-0.042517476
44,letter,-0.0032661401,0.002740343,-0.014205044,-0.0068411776,0.03147779
45,letter,0.021270825,-0.014140586,-0.004592513,-0.010349663,0.048327107
46,letter,0.04705295,0.012506272,0.012293639,-0.016661195,0.002179623
47,letter,0.035344526,0.005640062,0.008361669,0.014684609,-0.020599196
48,letter,-0.0060844314,0.0043435874,0.0058263335,-0.008669414,0.021251976
49,letter,0.002913836,-0.006398422,0.017606616,0.0103295,-0.0044327634
50,letter,0.01340428,-0.022612737,0.036953747,-0.012019349,-0.0027078295
51,letter,-0.018065503,-0.021111595,-0.020395292,-0.00698963,-0.0036084142
52,letter,-0.02303745,0.02785057,-0.008952573,-0.0028480776,0.02087008
53,letter,-0.0077800825,-0.0107833585,-0.0030537345,-0.03149344,-0.044937994
54,letter,0.0010718198,0.021892713,0.0023415592,-0.016371047,0.027319154
55,letter,-0.015147733,0.018214952,0.015848998,0.019357717,-0.0038769182
56,letter,0.03063221,0.029617349,0.0058310847,0.013814403,-0.02994077
57,letter,-0.011514268,0.007163368,0.011851749,-0.03237837,9.186447e-05
58,punct,0.010099203,0.03493262,0.019892186,0.010138722,0.008943931
59,punct,0.007445754,-0.025440011,0.023622703,0.0032725227,-0.00066471193
60,punct,-0.04205986,0.008959253,-0.03581103,-0.007741559,0.023003895
61,punct,0.027214166,-0.0089945,0.0090936525,0.018925615,-0.018329551
62,punct,0.01665571,-0.0011471991,-0.024868773,0.012878126,-0.012832635
63,punct,0.005556882,0.00051089044,0.008235051,-0.0056854477,-0.022753067
64,letter,-0.030675465,-0.030683445,-0.011857511,0.016909223,-0.056602165
65,letter,0.008505387,0.0072463737,0.02348652,0.0018733524,-0.0140635
66,letter,-0.0034715512,-0.00969574,0.05692263,0.04113221,0.007003227
67,letter,0.0054053394,-0.01439376,-0.030402476,-0.027065357,-0.0154423015
68,letter,0.0007864876,-0.027415032,0.00723056,0.002939197,-0.01665774
69,letter,0.008830104,0.026846666,-0.01110218,0.012375874,-0.031532846
70,letter,0.0062690256,-0.0053211963,0.0027562787,-0.0065478077,-0.0020301915
71,letter,0.007441422,-0.029653251,-0.003941122,0.012362518,0.018289713
72,letter,-0.017310869,0.03572653,-0.014783966,0.006260659,-0.004270531
73,letter,-0.0014116035,0.0014638634,-0.0035001927,-0.018186564,-0.00097603514
74,letter,-0.008619916,-0.040417966,0.0127648935,-0.02459317,0.003104833
75,letter,0.0020283607,0.015851025,-0.035157964,0.0059605506,-0.042104814
76,letter,0.0055464725,0.03542397,-0.023043444,0.009903288,0.014415392
77,letter,0.015310946,0.043027576,0.02889764,-0.013731557,-0.0063970517
78,letter,0.004713351,0.012550846,-0.035415526,0.0122689735,0.01485795
79,letter,-0.0061099445,-0.0060384837,-0.0018815912,0.006606849,-0.025346646
80,letter,-0.028055664,0.0054747835,-0.00091751706,0.047176417,0.0051072272
81,letter,0.021317542,0.032541003,0.010746106,0.017136877,0.0041029467
82,letter,0.011653584,0.02251579,0.014157083,-0.00825963,0.023071064
83,letter,-0.022595396,-0.002647067,0.008909229,0.025810324,-0.001210301
84,letter,-0.002286247,-0.019691015,-0.01648907,-0.005137389,-0.011016682
85,letter,0.026850112,-0.021867463,-0.004443905,-0.014699193,-0.011139538
86,letter,0.0012343504,0.0059715128,-0.004707015,0.008442181,-0.0065357457
87,letter,0.012857003,-0.036562886,0.011358079,0.010050783,-0.011842604
88,letter,-0.029618448,0.024802294,0.028484764,-0.05197757,0.009080436
89,letter,0.034617115,0.040642045,-0.03521775,-0.0026062792,-0.008877445
90,punct,-0.028984662,-0.03337201,0.023933386,0.0066989944,-0.008280354
91,punct,0.033317022,-0.024394557,0.03891592,0.010484843,0.011129477
92,punct,-0.0021101916,-0.026885888,-0.029749671,0.020834262,-0.02878609
93,punct,0.018017882,0.0036300083,-0.019077731,0.04167837,0.038394127
94,punct,-0.024117934,-0.00012253062,-0.034111045,-0.019530525,0.04916997
95,punct,-0.015765404,-0.022364136,-0.011095007,-0.012085324,-0.008162465
96,punct,-0.017681092,-0.009678153,-0.03204273,-0.010716543,0.056157555
97,punct,-0.027086996,-0.016042005,0.0021858895,0.027054127,0.012781446
98,punct,-0.0020018723,-0.06881707,-0.009568245,0.0033822805,0.0072238594
99,punct,-0.024577545,-0.026022317,0.026018377,0.008989455,0.00021405634
100,punct,0.0008937907,-0.007925925,0.0021611531,-0.00869523,0.002142671
101,punct,0.030455982,-0.0063094203,-0.003179244,0.017295364,-0.00015154945
102,punct,0.0030455622,0.010835262,-0.03103355,0.014906737,0.02873824
103,punct,0.039519295,0.003020931,-0.020909311,0.017380713,0.004182353
104,punct,0.040231198,0.025451813,0.018134769,-0.011906714,-0.0022531818
105,punct,-0.0067782635,-0.029131839,-0.008075056,0.02433814,-0.017805435
106,punct,-0.030246083,-0.017065676,-0.006913229,0.03735037,0.049591903
107,punct,-0.007227857,-0.009257593,0.013036692,0.0017343921,-0.013872476
108,punct,-0.0016978481,0.023416974,0.029370341,0.00022740105,0.0105917
109,punct,0.027274126,0.00014831462,-0.021859074,0.0181622,-0.015159762
110,punct,0.009945256,0.016251104,-0.013171895,-0.044143576,-0.018543566
111,punct,0.01176101,-0.02858775,-0.03883446,-0.017615715,0.02094548
112,punct,0.015364879,0.02314872,0.008657363,-0.022361508,0.029691236
113,punct,-0.041345056,0.016385596,0.016276859,-0.016870007,0.004112619
114,punct,0.018574793,0.031514943,-0.004253581,-0.0073310668,-0.011530132
115,punct,-0.016488302,0.016439104,0.002065543,0.016855389,-0.021085044
116,punct,-0.019154046,-0.0035727955,0.00058757025,-0.047369897,-0.022382373
117,punct,-0.016051091,0.027092203,0.011638463,0.0016146484,0.03986213
