step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,grad_norm_ffn,grad_norm_other,lr_current,tokens_per_sec,step_time,beta_loss,attention_entropy,attention_concentration
100,1.3693919803749697e-05,7.052717208862305,6.834236145019531,929.1183679053313,9.859718594683784,,,,0.2135141209825442,0.024561354890465736,0.0022517903707921505,0.001709587755613029,8.13452061265707e-09,0,0.05,3853.8533182647566,0.5314161777496338,0,3.788538694381714,0.07963570952415466
200,2.7387839607499394e-05,6.548700332641602,6.320638656616211,555.9279261471323,9.118754045151288,,,,0.22433946446608208,0.029728608205914497,0.003904770128428936,0.002364776097238064,4.6566128730773926e-09,0,0.049999655783176424,3853.8481312059093,0.5314168930053711,0,3.7719759941101074,0.08412136882543564
300,4.108175941124909e-05,6.641058921813965,6.395070552825928,598.8855748021222,9.226136572697008,,,,0.3190957241446262,0.03274163976311684,0.004583322908729315,0.0031731724739074707,6.984919309616089e-10,0,0.04999862462282181,3853.8515892435894,0.5314164161682129,0,3.7688279151916504,0.08539017289876938
400,5.477567921499879e-05,6.661233901977539,6.397521018981934,600.3549231934871,9.229671848068143,,,,1.1383365459854808,0.05661167576909065,0.008459964767098427,0.004265886731445789,1.682201400399208e-08,0,0.04999690502882004,3853.8567763117458,0.5314157009124756,0,3.7688913345336914,0.0847790390253067
500,6.846959901874849e-05,6.733102798461914,6.42748498916626,618.6161635581659,9.272900719258416,,,,0.6229257621826774,0.03740665316581726,0.005410236306488514,0.003661041846498847,8.614733815193176e-09,0,0.04999449849128723,3853.8567763117458,0.5314157009124756,0,3.7697792053222656,0.0849388986825943
600,8.216351882249818e-05,6.259821891784668,5.92184591293335,373.0997883427572,8.54341773149752,,,,0.4712834746667804,0.041743203997612,0.005841718055307865,0.004133181646466255,9.313225746154785e-10,0,0.049991405010223394,3853.8585053375673,0.5314154624938965,0,3.7598514556884766,0.08794443309307098
700,9.585743862624787e-05,6.244576930999756,5.899755001068115,364.9480450303007,8.511547282500832,,,,0.6918849729356829,0.03863225132226944,0.0061554391868412495,0.004314371384680271,1.0797521099448204e-08,0,0.04998762309551239,3853.8533182647566,0.5314161777496338,0,3.7672080993652344,0.08397776633501053
800,0.00010955135842999758,6.3328633308410645,5.936118125915527,378.462928890423,8.564008182389419,,,,0.38991070516791765,0.03786563500761986,0.005993701051920652,0.004738173447549343,4.423782229423523e-09,0,0.04998315423727036,3826.5139755689256,0.5352129936218262,0,3.7629737854003906,0.08498309552669525
900,0.00012324527823374726,6.335501194000244,5.901741027832031,365.67356182458377,8.514412513464206,,,,0.45753640631872383,0.045255038887262344,0.0065977685153484344,0.005512943025678396,5.398760549724102e-09,0,0.049977996945381166,3852.714229585841,0.5315732955932617,0,3.7537660598754883,0.08845546841621399
1000,0.00013693919803749698,6.177241325378418,5.720747947692871,305.1330611976791,8.25329469431222,6.184332439899444,324.6995544433594,8.342961657035437,0.43748098145335923,0.03887764737010002,0.00630662078037858,0.005105970893055201,1.0797521099448204e-08,0,0.04997215420007706,3844.933239991907,0.532649040222168,0,3.7533586025238037,0.08799594640731812
1100,0.00015063311784124667,6.557825565338135,6.073121070861816,434.0332182256441,8.761661651650615,,,,1.0676923094393167,0.04216534271836281,0.005798280704766512,0.005134189035743475,3.128661774098873e-09,0,0.04996562451124192,3813.2033691395413,0.537081241607666,0,3.7615597248077393,0.08415839076042175
1200,0.00016432703764499636,6.2941508293151855,5.784882545471191,325.34382476275465,8.345821360476412,,,,0.5010410559785806,0.05063875392079353,0.012088012881577015,0.00787372887134552,5.3551048040390015e-09,0,0.04995840638875962,3853.8585053375673,0.5314154624938965,0,3.751410722732544,0.08650194853544235
1300,0.00017802095744874605,6.383367538452148,5.873786449432373,355.5928687953625,8.474082581836877,,,,1.0955837921395843,0.044242337346076965,0.006847422104328871,0.005842313170433044,4.202884156256914e-06,0,0.049950502812862396,3743.7456709069957,0.5470457077026367,0,3.7589030265808105,0.08390280604362488
1400,0.00019171487725249574,6.175709247589111,5.635348320007324,280.15648442583193,8.130089074956517,,,,0.38010498199966763,0.036452844738960266,0.005381783936172724,0.005539705511182547,0.00037620411603711545,0,0.049941913783550264,3853.849860223974,0.531416654586792,0,3.754903793334961,0.08533502370119095
1500,0.00020540879705624544,6.365511417388916,5.795740604400635,328.89567538996135,8.3614862282476,,,,0.7594573141256344,0.04097229614853859,0.006777097005397081,0.006160123273730278,0.002304664347320795,0,0.049932637810707094,3837.18533031538,0.5337245464324951,0,3.7486188411712646,0.08547207713127136
