step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,grad_norm_ffn,grad_norm_other,lr_current,tokens_per_sec,step_time,beta_loss,attention_entropy,attention_concentration
100,5.477570171782078e-05,9.199901580810547,9.199901580810547,9896.155039255931,13.272652387301912,,,,0.8960540957357058,0.0,0.0,0.0,0.12841278231173275,0,0.0,523928.24702276575,0.01563572883605957,0,0,0
200,0.00010955140343564156,7.618057727813721,7.618057727813721,2034.6065299657353,10.9905341051227,,,,0.38557022362696003,0.0,0.0,0.0,0.090363024347979,0,0.0,524128.0488132284,0.01562976837158203,0,0,0
300,0.00016432710515346235,7.218778610229492,7.218778610229492,1364.8210637925308,10.414496102253413,,,,0.29887960930022933,0.0,0.0,0.0,0.09810168489400323,0,0.0,524120.0538157634,0.015630006790161133,0,0,0
400,0.00021910280687128313,6.947323322296143,6.947323322296143,1040.3612861063018,10.022868904528883,,,,0.3096026452662514,0.0,0.0,0.0,0.08826613307433948,0,0.0,262058.02820424817,0.03126025199890137,0,0,0
500,0.0002738785085891039,6.728133201599121,6.728133201599121,835.5859385719169,9.706644404387436,,,,0.36081105765228666,0.0,0.0,0.0,0.11339638077490946,0,0.0,262066.0232017146,0.03125929832458496,0,0,0
600,0.0003286542103069247,6.597041130065918,6.597041130065918,732.9233528630375,9.517518522886624,,,,0.37177536565347763,0.0,0.0,0.0,0.10947788152886921,0,0.0,524128.0488132284,0.01562976837158203,0,0,0
700,0.00038342991202474546,6.5682806968688965,6.5682806968688965,712.1443978857284,9.476025988539462,,,,0.3619903535358833,0.0,0.0,0.0,0.10548000639023156,0,0.0,524128.0488132284,0.01562976837158203,0,0,0
800,0.00043820561374256626,6.439645290374756,6.439645290374756,626.1846466925315,9.290444325507629,,,,0.4091852149486551,0.0,0.0,0.0,0.12988452363034164,0,0.0,524112.05906220444,0.015630245208740234,0,0,0
900,0.0004929813154603871,6.514244556427002,6.514244556427002,674.684083200806,9.398068316695161,,,,0.42103752852303483,0.0,0.0,0.0,0.13423460047854258,0,0.0,524096.0702867602,0.015630722045898438,0,0,0
1000,0.0005477570171782078,6.289252281188965,6.289252281188965,538.7503446767404,9.07347307697092,6.24641716003418,516.16015625,9.011675060105034,0.4163563002511414,0.0,0.0,0.0,0.12649520709513798,0,0.0,262072.01976996064,0.031258583068847656,0,0,0
1100,0.0006025327188960286,6.30523681640625,6.30523681640625,547.4312135282262,9.096533886659813,,,,0.4101878647033137,0.0,0.0,0.0,0.12567523373963882,0,0.0,262060.0269078817,0.031260013580322266,0,0,0
1200,0.0006573084206138494,6.226784706115723,6.226784706115723,506.12552220151895,8.983351416196395,,,,0.4263244876781974,0.0,0.0,0.0,0.13415383661061925,0,0.0,524128.0488132284,0.01562976837158203,0,0,0
1300,0.0007120841223316702,6.150218963623047,6.150218963623047,468.8200300767755,8.87289039920023,,,,0.4606989262405008,0.0,0.0,0.0,0.14698101983260536,0,0.0,262064.0244066142,0.03125953674316406,0,0,0
1400,0.0007668598240494909,6.064891815185547,6.064891815185547,430.4761041755153,8.749789345296252,,,,0.5083658085374069,0.0,0.0,0.0,0.15275308216456457,0,0.0,262066.0232017146,0.03125929832458496,0,0,0
1500,0.0008216355257673118,6.074741363525391,6.074741363525391,434.73704911691397,8.76399923984114,,,,0.4677292647330022,0.0,0.0,0.0,0.15001152665703862,0,0.0,524152.0352691715,0.015629053115844727,0,0,0
1600,0.0008764112274851325,5.937994003295898,5.937994003295898,379.1735452442264,8.566714501383396,,,,0.48656759870286503,0.0,0.0,0.0,0.15249553415173198,0,0.0,262050.0336945828,0.03126120567321777,0,0,0
