step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_c0,alpha_b0,alpha_c0_std,alpha_b0_std,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
1900,1773680824.8635745,7.001338958740234,7.001338958740234,0,0,0,,,1098.1024884473836,10.100796995357236,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002893263190984726,0.4156307890054769,0.0,0.11939918124346022,,,,,,,,,,,0.031259775161743164,262062.02564200346
2000,1773680827.0795765,7.017403602600098,7.017403602600098,0,0,0,6.875215196609497,6.875215196609497,1115.8855708461695,10.123973377387507,967.9835205078125,9.918838869192962,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002881237417459488,0.3404061191885621,0.0,0.10193891018041822,,,,,,,,,,,0.031260013580322266,262060.0269078817
2100,1773680849.3058307,7.003627777099609,7.003627777099609,0,0,0,,,1100.6187240881015,10.104099062253802,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00028685975968837735,0.3349177726125638,0.0,0.08367200227839712,,,,,,,,,,,0.031260013580322266,262060.0269078817
2200,1773680851.5252743,6.921193599700928,6.921193599700928,0,0,0,,,1013.5290207807785,9.985171683320962,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00028553494513034816,0.328576862431586,0.0,0.07664228231041235,,,,,,,,,,,0.03125953674316406,262064.0244066142
2300,1773680853.7290885,6.917068958282471,6.917068958282471,0,0,0,,,1009.3571865774314,9.979221083601109,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002841498702764511,0.36216398088772395,0.0,0.11068218843660094,,,,,,,,,,,0.031260013580322266,262060.0269078817
2400,1773680855.9453042,6.933520317077637,6.933520317077637,0,0,0,,,1026.0998257779554,10.00295537735078,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00028270516991615294,0.34824005003610975,0.0,0.08374839437193392,,,,,,,,,,,0.031260013580322266,262060.0269078817
2500,1773680858.1491175,6.82218074798584,6.82218074798584,0,0,0,,,917.9847221885226,9.84232633316733,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00028120146989822387,0.3577145305207925,0.0,0.08125183747672202,,,,,,,,,,,0.031259775161743164,262062.02564200346
2600,1773680860.3707473,6.820267200469971,6.820267200469971,0,0,0,,,916.2297944081166,9.83956566765568,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002796394497156143,0.4251321910818845,0.0,0.09681538284323779,,,,,,,,,,,0.0468907356262207,174704.01968740148
2700,1773680862.5745604,6.768276214599609,6.768276214599609,0,0,0,,,869.8112330490289,9.764558530169582,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002780197978019714,0.35276654353038617,0.0,0.08709362686552782,,,,,,,,,,,0.031260013580322266,262060.0269078817
2800,1773680864.7926085,6.743310451507568,6.743310451507568,0,0,0,,,848.3645620685248,9.728540547564686,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00027634323835372924,0.3857412397681972,0.0,0.08185932673190931,,,,,,,,,,,0.03125929832458496,262066.0232017146
