step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_c0,alpha_b0,alpha_c0_std,alpha_b0_std,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
2000,1773678982.7621906,5.881062984466553,5.881062984466553,0,0,0,5.763306963443756,5.763306963443756,358.18978959719226,8.484580402845543,318.3995666503906,8.314694375281137,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002881237417459488,0.606206658389494,0.0,0.0,,,,,,,,,,,0.015630483627319336,524104.0645525405
2100,1773679004.958106,5.821743965148926,5.821743965148926,0,0,0,,,337.56023388161907,8.399001147845606,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00028685975968837735,0.6761767973297946,0.0,0.0,,,,,,,,,,,0.01563096046447754,524088.0762648526
2200,1773679006.458575,5.798172950744629,5.798172950744629,0,0,0,,,329.69663729703996,8.364995362255804,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00028553494513034816,0.7207445782765018,0.0,0.0,,,,,,,,,,,0.01562976837158203,524128.0488132284
2300,1773679007.9919593,5.8091936111450195,5.8091936111450195,0,0,0,,,333.35020737074933,8.380894814362769,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002841498702764511,0.671689738944367,0.0,0.0,,,,,,,,,,,0.03279900550842285,249763.67036178207
2400,1773679009.5142522,5.902752876281738,5.902752876281738,0,0,0,,,366.0437553094819,8.515872302204729,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00028270516991615294,0.6722509307970643,0.0,0.0,,,,,,,,,,,0.023914575576782227,342552.59825532127
2500,1773679011.0092056,5.674449920654297,5.674449920654297,0,0,0,,,291.32804092302047,8.186500760300726,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00028120146989822387,0.7080032712120512,0.0,0.0,,,,,,,,,,,0.033356428146362305,245589.84445381575
2600,1773679012.507501,5.690310478210449,5.690310478210449,0,0,0,,,295.9855034253669,8.209382708032722,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002796394497156143,0.8483266576385541,0.0,0.0,,,,,,,,,,,0.031259775161743164,262062.02564200346
2700,1773679013.9947119,5.6199750900268555,5.6199750900268555,0,0,0,,,275.88251092325,8.10791019230125,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002780197978019714,0.6731654657183846,0.0,0.0,,,,,,,,,,,0.037148475646972656,220520.48858881215
2800,1773679015.4743383,5.640370845794678,5.640370845794678,0,0,0,,,281.5671170974838,8.13733504800267,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00027634323835372924,0.7338350405687062,0.0,0.0,,,,,,,,,,,0.03125953674316406,262064.0244066142
2900,1773679016.9581275,5.670253753662109,5.670253753662109,0,0,0,,,290.10814105556005,8.180446970990355,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002746105134487152,0.7288286111711201,0.0,0.0,,,,,,,,,,,0.02281665802001953,359035.92861024034
3000,1773679018.432751,5.585117340087891,5.585117340087891,0,0,0,5.4957116603851315,5.4957116603851315,266.43154400612,8.057621089327759,243.6448974609375,7.92863595859328,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002728223919868469,0.743758229776013,0.0,0.0,,,,,,,,,,,0.015628576278686523,524168.02745953534
3100,1773679041.5723803,5.662409782409668,5.662409782409668,0,0,0,,,287.84144271740655,8.169130512563582,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002709796696901321,0.6866537170454857,0.0,0.0,,,,,,,,,,,0.03125143051147461,262132.00054929126
3200,1773679043.043259,5.605965614318848,5.605965614318848,0,0,0,,,272.0444887001356,8.087698791171853,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00026908317804336546,0.7634870910168822,0.0,0.0,,,,,,,,,,,0.015621423721313477,524408.0274721081
3300,1773679044.5281062,5.535539627075195,5.535539627075195,0,0,0,,,253.5445702428429,7.986095568625727,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002671337395906448,0.7645834092185531,0.0,0.0,,,,,,,,,,,0.03125882148742676,262070.0208833871
3400,1773679045.9973161,5.520830154418945,5.520830154418945,0,0,0,,,249.842358861535,7.964874285370462,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002651322305202484,0.7919358799876041,0.0,0.0,,,,,,,,,,,0.01562952995300293,524136.04405461065
3500,1773679047.4821548,5.53227424621582,5.53227424621582,0,0,0,,,252.71800092244808,7.9813846198532925,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002630795449018478,0.8268344472217369,0.0,0.0,,,,,,,,,,,0.03125929832458496,262066.0232017146
3600,1773679048.9513638,5.615193843841553,5.615193843841553,0,0,0,,,274.56659708117473,8.101012312140444,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00026097658574581145,0.7249238712923587,0.0,0.0,,,,,,,,,,,0.015628814697265625,524160.03124237247
3700,1773679050.4362032,5.529749870300293,5.529749870300293,0,0,0,,,252.08085022978295,7.977742715238621,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002588243007659912,0.7512743864185093,0.0,0.0,,,,,,,,,,,0.03126835823059082,261990.09041624411
3800,1773679051.9054136,5.496933937072754,5.496933937072754,0,0,0,,,243.9428403703861,7.930399331109108,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002566236287355423,0.8799195625030517,0.0,0.0,,,,,,,,,,,0.015639066696166992,523816.4245445537
3900,1773679053.3807595,5.427868843078613,5.427868843078613,0,0,0,,,227.66354132017287,7.830759462505231,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002543755620718002,0.7477164617831435,0.0,0.0,,,,,,,,,,,0.01562976837158203,524128.0488132284
4000,1773679054.8714626,5.436129570007324,5.436129570007324,0,0,0,5.322387784719467,5.322387784719467,229.55199693577697,7.84267717227942,204.87246704101562,7.678582462702772,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002520810931921005,0.7881100566703714,0.0,0.0,,,,,,,,,,,0.031250953674316406,262136.00024413317
4100,1773679077.3940997,5.457246780395508,5.457246780395508,0,0,0,,,234.45103975521207,7.873142866983861,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002497412502765655,0.7449017551932487,0.0,0.0,,,,,,,,,,,0.016687870025634766,490895.48201274395
4200,1773679078.945072,5.2732038497924805,5.2732038497924805,0,0,0,,,195.03984085903352,7.607625043692202,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002473570704460144,0.768030629014727,0.0,0.0,,,,,,,,,,,0.016618967056274414,492930.75630155654
4300,1773679080.4963567,5.544883728027344,5.544883728027344,0,0,0,,,255.9248196296283,7.999576256730957,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002449296087026596,0.8376983154658701,0.0,0.0,,,,,,,,,,,0.03340911865234375,245202.51746974196
4400,1773679082.0143032,5.373373985290527,5.373373985290527,0,0,0,,,215.58903621150296,7.75214000142041,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00024245994687080381,0.7507326929818116,0.0,0.0,,,,,,,,,,,0.01657700538635254,494178.5207323563
4500,1773679083.565635,5.353233337402344,5.353233337402344,0,0,0,,,211.29036764004223,7.723083188591836,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00023994918465614318,0.7849245693940823,0.0,0.0,,,,,,,,,,,0.03338623046875,245370.61791590494
4600,1773679085.104131,5.437155723571777,5.437155723571777,0,0,0,,,229.78767343511942,7.844157598938047,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00023739843070507048,0.805365853003093,0.0,0.0,,,,,,,,,,,0.03635454177856445,225336.35686835166
4700,1773679086.6352458,5.379490375518799,5.379490375518799,0,0,0,,,216.9117037378374,7.760964087270879,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00023480882942676542,0.8249878113507999,0.0,0.0,,,,,,,,,,,0.03311610221862793,247372.10756016962
4800,1773679088.1693556,5.424755096435547,5.424755096435547,0,0,0,,,226.95575723465387,7.826267275664694,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002321815252304077,0.8806649787980921,0.0,0.0,,,,,,,,,,,0.009841442108154297,832398.3324773487
4900,1773679089.7037978,5.340049743652344,5.340049743652344,0,0,0,,,208.5230827308456,7.704063283267617,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00022951768934726714,0.8213267786763442,0.0,0.0,,,,,,,,,,,0.016780376434326172,488189.28657895484
5000,1773679091.2215905,5.345521450042725,5.345521450042725,0,0,0,5.211404254436493,5.211404254436493,209.66718706215838,7.71195728694222,183.3513641357422,7.5184670739431745,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002268185019493103,0.7339128548315754,0.0,0.0,,,,,,,,,,,0.033499717712402344,244539.37404275913
5100,1773679113.8054156,5.399362564086914,5.399362564086914,0,0,0,,,221.26532877498528,7.789633595169709,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002240851745009422,0.7928277690959068,0.0,0.0,,,,,,,,,,,0.016695499420166016,490671.1559706395
5200,1773679115.3231819,5.363185882568359,5.363185882568359,0,0,0,,,213.4037438585712,7.73744167614707,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00022131890058517455,0.9018860193976145,0.0,0.0,,,,,,,,,,,0.016678333282470703,491176.17817422876
5300,1773679116.841036,5.384649276733398,5.384649276733398,0,0,0,,,218.03362123222425,7.768406808469618,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002185209274291992,0.9087274464873201,0.0,0.0,,,,,,,,,,,0.03331136703491211,245922.05992069741
