step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
50,1770319740.7593224,75.11012268066406,7.808487892150879,66.91490936279297,0.38672763109207153,0.0,,,2461.4057090088995,11.265266758847588,,,0.007812504656612873,0,6.259360313415527,0,3.576475143432617,0.08071621507406235,,,,,,,,,,,,,,,,0.025,0,0.00125,0.025,19.465509390182994,8.934993743896484,0.0021698276977986097,0.2500772476196289,8189.469531890552
100,1770319753.9816937,10.012338638305664,7.407890319824219,2.4785780906677246,0.12586946785449982,0.0,,,1648.9439304426228,10.687326627859758,,,0.007812504656612873,0,0.11069057136774063,0,3.8400309085845947,0.05066567286849022,,,,,,,,,,,,,,,,0.05,0,0.0025,0.05,1.884655052893338,0.07640877366065979,0.00899809692054987,0.26954030990600586,7598.121411651485
150,1770319766.8911066,13.237031936645508,7.12728214263916,6.009904384613037,0.09984612464904785,0.0,,,1245.48730585013,10.282494602201982,,,0.007812504656612873,0,0.2758660316467285,0,3.8385777473449707,0.05136413127183914,,,,,,,,,,,,,,,,0.04999994486570358,0,0.0024999972432851792,0.04999994486570358,1.0216962235909743,0.06366047263145447,3.4924596548080444e-09,0.2554490566253662,8017.254113424009
200,1770319779.74413,11.84494686126709,6.649236679077148,5.111206531524658,0.08450442552566528,0.0,,,772.1946681681505,9.592820782601603,,,0.007812505587935448,0,0.23939965665340424,0,3.838379383087158,0.051136791706085205,,,,,,,,,,,,,,,,0.04999977946281434,0,0.0024999889731407167,0.04999977946281434,0.9605039110760112,0.06781457364559174,1.1641532182693481e-08,0.2582213878631592,7931.178811126633
250,1770319792.6703217,11.207916259765625,6.621407985687256,4.514932632446289,0.07157547026872635,0.0,,,751.0017527783094,9.552672464653584,,,0.007812504656612873,0,0.2161029577255249,0,3.8380589485168457,0.051191043108701706,,,,,,,,,,,,,,,,0.049999505281448364,0,0.002499975264072418,0.049999505281448364,0.9335648914303427,0.08588706701993942,2.0023435354232788e-08,0.2692830562591553,7605.380109876002
300,1770319805.996502,10.403517723083496,6.424707412719727,3.9081108570098877,0.07069944590330124,0.0,,,616.90029395547,9.268893523493313,,,0.007812504656612873,0,0.19606947898864746,0,3.838076591491699,0.05100294202566147,,,,,,,,,,,,,,,,0.049999120831489566,0,0.002499956041574478,0.049999120831489566,0.7870302351556089,0.0726744681596756,1.6763806343078613e-08,0.2638680934906006,7761.453735871833
350,1770319819.1417544,11.018707275390625,6.5547709465026855,4.390661239624023,0.07327451556921005,0.0,,,702.5882011060874,9.456535538682482,,,0.007812504656612873,0,0.2307640016078949,0,3.838229179382324,0.05093785375356674,,,,,,,,,,,,,,,,0.04999862611293793,0,0.0024999313056468966,0.04999862611293793,1.3490773944627303,0.07958795875310898,1.5366822481155396e-08,0.27823853492736816,7360.590798591623
400,1770319832.167822,10.971458435058594,6.377772808074951,4.522627830505371,0.07105875015258789,0.0,,,588.6152874799301,9.201181202126211,,,0.007812504656612873,0,0.2265084683895111,0,3.8371407985687256,0.05114907771348953,,,,,,,,,,,,,,,,0.04999802112579346,0,0.0024999010562896727,0.04999802112579346,0.8917103655748713,0.08548257499933243,1.3969838619232178e-09,0.2505531311035156,8173.915013474217
450,1770319845.5098338,10.877912521362305,6.192337512969971,4.6023736000061035,0.08320175856351852,0.0,,,488.9877866416274,8.933654621472474,,,0.007812504656612873,0,0.2289062738418579,0,3.8373653888702393,0.05121997371315956,,,,,,,,,,,,,,,,0.04999730587005616,0,0.0024998652935028075,0.04999730587005616,0.9474231959148786,0.06447475403547287,3.259629011154175e-09,0.28133416175842285,7279.599417288629
500,1770319859.2501545,10.827339172363281,6.320366382598877,4.422228813171387,0.08474321663379669,0.0,16.45670967102051,6.417924118041992,555.7765820218035,9.118361236776718,612.729736328125,9.259107297900856,0.007812504656612873,0,0.21481773257255554,0,3.83746337890625,0.05112136900424957,,,,,,,,,,,,,,,,0.049996481835842134,0,0.002499824091792107,0.049996481835842134,0.9112255082430332,0.05830885469913483,1.1175870895385742e-08,0.28481197357177734,7190.708923913517
