step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_a0,alpha_b0,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
500,1770785028.2073128,13.66695499420166,6.761281490325928,6.301799774169922,0.6038730144500732,0.0,,,863.7483720435807,9.754467276147556,,,0.015625005587935448,0,1.3109071254730225,0,3.076927661895752,0.10215574502944946,0.13516880082897842,20.01520025730133,3,0.1854376265678845,0.5733060656778003,2.3871578110588922,5.052114973224758,3.076927661895752,5,0.1369760544039309,0.24033120553940535,0.10335515113547444,27.793988347053528,32.382251501083374,4.588263154029846,0.14999406784772873,0,0.0024999011307954787,0.14999406784772873,2.094402360065306,0.0932498574256897,0.02523110806941986,,,,,,,,,21.471346139907837,47.69146719202373
1000,1770785197.8738573,9.721763610839844,6.663897514343262,2.6115872859954834,0.4462781250476837,0.0,8.784770450592042,6.385709562301636,783.5990818351636,9.613971896935315,593.3056640625,9.212631518089804,0.015625005587935448,0,0.6802012324333191,0,3.1265883445739746,0.09194397181272507,0.1337193213403225,19.610760807991028,2,0.15974786181567022,0.09619112506080343,0.015064418315887451,0.020454177510668775,3.1265883445739746,5,0.13893895130604506,0.27334892423823476,0.1344099729321897,26.84382998943329,33.786319613456726,6.9424896240234375,0.14996996372938157,0,0.0024994993954896927,0.14996996372938157,2.4674843959141337,0.05550769716501236,0.009407727979123592,,,,,,,,,21.48830485343933,47.65382876798226
1500,1770785392.526531,8.912400245666504,6.680703163146973,1.8430564403533936,0.38864022493362427,0.0,,,796.8792511802344,9.63821732312335,,,0.015625005587935448,0,0.40475308895111084,0,3.1269173622131348,0.09179627150297165,0.13573716394603252,19.494898915290833,3,0.21375656758101447,0.5670165653827863,2.446879360410902,6.886643984325021,3.1269173622131348,5,0.13799309451133013,0.3560318611562252,0.21803876664489508,27.01190197467804,34.10419464111328,7.092292666435242,0.14992732554674149,0,0.002498788759112358,0.14992732554674149,5.398054822376094,0.06401874125003815,0.024189895018935204,,,,,,,,,21.178645133972168,48.350590584164685
2000,1770785563.3595047,8.554437637329102,6.740130424499512,1.414359211921692,0.39994844794273376,0.0,8.266687698364258,6.335900974273682,845.671024878856,9.72395273837027,564.4776611328125,9.140772915148192,0.015625005587935448,0,0.307547926902771,0,3.127589702606201,0.09224482625722885,0.13141843536868691,19.563037872314453,2,0.25767146265881485,0.16266697716345108,0.0433214008808136,0.08538628500566421,3.127589702606201,5,0.13539262441918254,0.34291214402765036,0.20751951960846782,26.834941387176514,33.96618115901947,7.1312397718429565,0.14986616224050522,0,0.002497769370675087,0.14986616224050522,5.654904760737183,0.06571069359779358,0.007201698608696461,,,,,,,,,21.843663215637207,46.87858395779284
2500,1770785758.7177403,8.257803916931152,6.362898826599121,1.5291284322738647,0.3657761216163635,0.0,,,579.9250242204447,9.179722582812756,,,0.015625005587935448,0,0.27821534872055054,0,3.12693452835083,0.09188386797904968,0.13423252012580633,19.644327044487,2,0.2974940177868903,0.20443351648263067,0.03075927495956421,0.04093279019212879,3.12693452835083,5,0.1408840622752905,0.3323247777298093,0.1914407154545188,25.35686194896698,34.873778343200684,9.516916394233704,0.14978649169206618,0,0.0024964415282011034,0.14978649169206618,3.4154208667922425,0.050856634974479675,0.07641684263944626,,,,,,,,,21.678281545639038,47.23621647980651
3000,1770785929.7742677,8.495750427246094,6.545360088348389,1.563165545463562,0.3872251510620117,0.0,8.12545365333557,6.199062051773072,696.0072579355653,9.442958540292768,492.2869873046875,8.943356080255974,0.015625005587935448,0,0.3015797734260559,0,3.132354497909546,0.09105277806520462,0.13162748143076897,19.527483344078064,2,0.3513012100240904,0.2413307340504967,0.021799743175506592,0.015059227649859865,3.132354497909546,5,0.13386216759681702,0.33771082758903503,0.20384865999221802,24.519540548324585,34.81473231315613,10.295191764831543,0.14968833178281785,0,0.0024948055297136307,0.14968833178281785,1.915129379121792,0.04073894023895264,0.0353037565946579,,,,,,,,,21.737553358078003,47.10741743248976
3500,1770786125.4414032,9.175596237182617,6.728382587432861,1.9879487752914429,0.45926493406295776,0.0,,,835.7943478539505,9.707004192093041,,,0.015625005587935448,0,0.41762447357177734,0,3.130918264389038,0.09144524484872818,0.1329886531457305,19.522790670394897,2,0.39380908668294523,0.3076060363371009,0.014203697443008423,0.007825763488798218,3.130918264389038,5,0.1329147624783218,0.2971329316496849,0.16421816917136312,23.339662075042725,33.93541395664215,10.595751881599426,0.14957170486450194,0,0.002492861747741699,0.14957170486450194,5.643287870491203,0.02623024955391884,0.05437660217285156,,,,,,,,,21.386868476867676,47.879847445060605
4000,1770786296.4306703,8.126618385314941,6.506280899047852,1.283769965171814,0.33656707406044006,0.0,7.695795106887817,6.205228805541992,669.3324678218655,9.386579187686921,495.332275390625,8.952252825336778,0.015625005587935448,0,0.1964438259601593,0,3.1358442306518555,0.09094666689634323,0.1325671598315239,19.521663665771484,2,0.46726540650925186,0.3501783337234315,0.021688073873519897,0.01603412741106311,3.1358442306518555,5,0.13508391939103603,0.21765631483867764,0.08257239544764161,21.933571457862854,32.053507924079895,10.119936466217041,0.14943664222955702,0,0.0024906107038259505,0.14943664222955702,5.239799683989741,0.03109670989215374,0.0033636861480772495,,,,,,,,,21.6615149974823,47.272778479206956
4500,1770786490.7385957,8.094292640686035,6.256131172180176,1.5016272068023682,0.3365340530872345,0.0,,,521.19860679751,9.025689417255197,,,0.015625005587935448,0,0.2663930058479309,0,3.136268138885498,0.09055683761835098,0.1315110232681036,19.520225405693054,2,0.5081374797895267,0.4727272279663399,0.02001398801803589,0.01084773539382646,3.136268138885498,5,0.13259346457198262,0.1754984688013792,0.04290500422939658,21.27077889442444,29.316546320915222,8.045767426490784,0.14928317517042158,0,0.0024880529195070267,0.14928317517042158,2.4781875201598735,0.027443796396255493,0.031236374750733376,,,,,,,,,21.679545640945435,47.23346222099809
5000,1770786661.8927832,8.456976890563965,6.5726728439331055,1.5121833086013794,0.3721204698085785,0.0,8.50384428024292,6.174534721374512,715.2791198528238,9.482362517327852,480.3594970703125,8.907970622323726,0.015625005587935448,0,0.2774665951728821,0,3.1356306076049805,0.09101153165102005,0.13253180868923664,19.52168846130371,2,0.4962279974147204,0.38465283726498267,0.029465079307556152,0.029029227880865656,3.1356306076049805,5,0.13432706892490387,0.23622109275311232,0.10189402382820845,20.922014951705933,31.788694262504578,10.866679310798645,0.1491113483905792,0,0.002485189139842987,0.1491113483905792,4.363574187219553,0.02756313420832157,0.18027015030384064,,,,,,,,,21.842527627944946,46.88102116395689
